  <H>         <N>        <Sz>       <S2>       <D> 
 -10.252953   8.000000   0.000000   0.000000   1.044444
  -9.832899   8.000000   0.000000   2.000000   1.183098
  -9.231065   8.000000   0.000000   0.000000   1.284308
  -8.607307   8.000000   0.000000   2.000000   0.973826
  -8.607307   8.000000   0.000000   2.000000   0.973826
  -8.555290   8.000000   0.000000  -0.000000   1.635568
  -8.272379   8.000000   0.000000   2.000000   1.099422
  -8.272379   8.000000   0.000000   2.000000   1.099422
  -7.766897   8.000000   0.000000  -0.000000   1.107671
  -7.766897   8.000000   0.000000   0.000000   1.107671
  -7.593133   8.000000   0.000000   2.000000   0.789593
  -7.546672   8.000000   0.000000   6.000000   0.854876
  -7.321318   8.000000   0.000000   6.000000   0.934862
  -7.120871   8.000000   0.000000   0.000000   0.905928
  -7.114090   8.000000   0.000000  -0.000000   0.854629
  -7.072386   8.000000   0.000000   2.000000   0.901701
  -6.989977   8.000000   0.000000   2.000000   0.885341
  -6.937580   8.000000   0.000000   2.000000   1.553035
  -6.937580   8.000000   0.000000   2.000000   1.553035
  -6.927971   8.000000   0.000000   0.000000   1.559432
  -6.927971   8.000000   0.000000  -0.000000   1.559432
  -6.925304   8.000000   0.000000   2.000000   1.563180
  -6.925304   8.000000   0.000000   2.000000   1.563180
  -6.649290   8.000000   0.000000   2.000000   1.076170
  -6.600637   8.000000   0.000000   6.000000   0.973362
  -6.399034   8.000000   0.000000   0.000000   1.615294
  -6.399034   8.000000   0.000000   0.000000   1.615294
  -6.351172   8.000000   0.000000   2.000000   1.031474
  -6.231904   8.000000   0.000000   0.000000   0.965271
  -6.223858   8.000000   0.000000  -0.000000   1.652626
  -6.223858   8.000000   0.000000   0.000000   1.652626
  -6.079721   8.000000   0.000000   6.000000   0.714241
  -6.079721   8.000000   0.000000   6.000000   0.714241
  -6.073967   8.000000   0.000000   0.000000   0.933897
  -6.023361   8.000000   0.000000   2.000000   1.040555
  -5.973068   8.000000   0.000000   6.000000   1.390194
  -5.965500   8.000000   0.000000   2.000000   1.186699
  -5.934776   8.000000   0.000000   2.000000   0.709573
  -5.934776   8.000000   0.000000   2.000000   0.709573
  -5.862880   8.000000   0.000000   2.000000   1.382768
  -5.675477   8.000000   0.000000   2.000000   0.747082
  -5.675477   8.000000   0.000000   2.000000   0.747082
  -5.642302   8.000000   0.000000   6.000000   0.807276
  -5.642302   8.000000   0.000000   6.000000   0.807276
  -5.560688   8.000000   0.000000   0.000000   1.409286
  -5.556687   8.000000   0.000000  -0.000000   1.411065
  -5.516657   8.000000   0.000000   2.000000   1.422668
  -5.463523   8.000000   0.000000   2.000000   1.436632
  -5.452739   8.000000   0.000000   2.000000   1.442716
  -5.448176   8.000000   0.000000   2.000000   1.439861
  -5.433404   8.000000   0.000000   2.000000   1.442013
  -5.407331   8.000000   0.000000   2.000000   1.459160
  -5.393607   8.000000   0.000000  -0.000000   0.799225
  -5.393607   8.000000   0.000000   0.000000   0.799225
  -5.245554   8.000000   0.000000   2.000000   0.826725
  -5.245554   8.000000   0.000000   2.000000   0.826725
  -5.168891   8.000000   0.000000   0.000000   1.490296
  -5.144858   8.000000   0.000000   0.000000   1.229670
  -5.134271   8.000000   0.000000  -0.000000   1.481285
  -5.115462   8.000000   0.000000   0.000000   1.534705
