LanczosStep  E[1] E[2] E[3] E[4] E_Max/Nsite
stp = 2 7.2896991510 15.8214119601 xxxxxxxxxx xxxxxxxxx xxxxxxxxx 
stp=4 0.6698925598 7.7276503014 13.8631007576 19.2577946446 2.4072243306
stp=6 -3.8441619873 2.2108510413 7.6623584562 12.6293174617 2.6518039243
stp=8 -6.4961903763 -1.5608489454 3.1512326070 7.7327998828 2.8029822134
stp=10 -8.5970255914 -4.5792543089 -0.2681516892 3.7254699466 3.0428976759
stp=12 -9.6552607128 -6.0042020593 -2.5004902525 1.0605397934 3.1829370263
stp=14 -9.9031869039 -6.9063278805 -4.6218880887 -1.5380624861 3.2331214365
stp=16 -10.0353390630 -8.2479345289 -5.9061419203 -3.1080049749 3.2556606493
stp=18 -10.1089417254 -8.9054842284 -6.4375226693 -4.6088783488 3.2657825015
stp=20 -10.1560820415 -9.2790205166 -7.3704006051 -5.8319860978 3.2721734543
stp=22 -10.2062139842 -9.6152594281 -8.2843754957 -6.3140751233 3.2765287515
stp=24 -10.2388486778 -9.7637105763 -8.5904287323 -6.6678168601 3.2792068403
stp=26 -10.2472385280 -9.7973998268 -8.6835557357 -7.0266886097 3.2804513785
stp=28 -10.2507661031 -9.8148313268 -8.8014315014 -7.9630718363 3.2812324955
stp=30 -10.2524238936 -9.8268498428 -9.0456742801 -8.4608178033 3.2815170643
stp=32 -10.2528572474 -9.8314491485 -9.1752796946 -8.5460933671 3.2815970681
stp=34 -10.2529372638 -9.8325947485 -9.2147140664 -8.5718061465 3.2816150439
stp=36 -10.2529504978 -9.8328384383 -9.2262709327 -8.5829255286 3.2816183650
stp=38 -10.2529525373 -9.8328857226 -9.2295038321 -8.5881496872 3.2816189695
stp=40 -10.2529528839 -9.8328958472 -9.2305317618 -8.5911928514 3.2816190925
stp=42 -10.2529529414 -9.8328979726 -9.2308594594 -8.5931193301 3.2816191158
stp=44 -10.2529529529 -9.8328985189 -9.2309931363 -8.5949434653 3.2816191190
stp=46 -10.2529529549 -9.8328986456 -9.2310434820 -8.5968439113 3.2816191194
stp=48 -10.2529529552 -9.8328986698 -9.2310584285 -8.5983778723 3.2816191194
stp=50 -10.2529529553 -9.8328986736 -9.2310618924 -8.5991873248 3.2816191194
stp=52 -10.2529529553 -9.8328986749 -9.2310638248 -8.6004254553 3.2816191194
stp=54 -10.2529529553 -9.8328986753 -9.2310648133 -8.6038248456 3.2816191194
stp=56 -10.2529529553 -9.8328986753 -9.2310649726 -8.6062498986 3.2816191194
stp=58 -10.2529529553 -9.8328986753 -9.2310649976 -8.6070488370 3.2816191194
stp=60 -10.2529529553 -9.8328986753 -9.2310650019 -8.6072635533 3.2816191194
stp=62 -10.2529529553 -9.8328986753 -9.2310650024 -8.6072999798 3.2816191194
