  <H>         <N>        <Sz>       <S2>       <D> 
 -10.454399   8.000000  -0.000000   0.000000   0.994704
  -9.896049   8.000000   0.000000   2.000000   1.160967
  -9.896049   8.000000  -0.000000   2.000000   1.160967
  -9.896049   8.000000  -0.000000   2.000000   1.160967
  -9.896049   8.000000   0.000000   2.000000   1.160967
  -9.755011   8.000000   0.000000   0.000000   1.233766
  -9.755011   8.000000   0.000000   0.000000   1.233766
  -9.755011   8.000000  -0.000000   0.000000   1.233766
  -9.755011   8.000000  -0.000000  -0.000000   1.233766
  -9.740736   8.000000   0.000000   0.000000   1.261213
  -9.740736   8.000000   0.000000  -0.000000   1.261213
  -9.630380   8.000000  -0.000000   2.000000   1.294416
  -9.630380   8.000000  -0.000000   2.000000   1.294416
  -9.630380   8.000000   0.000000   2.000000   1.294416
  -9.630380   8.000000  -0.000000   2.000000   1.294416
  -9.564945   8.000000   0.000000   2.000000   1.304805
  -9.564945   8.000000   0.000000   2.000000   1.304805
  -8.631785   8.000000   0.000000   0.000000   1.604989
  -8.631785   8.000000   0.000000   0.000000   1.604989
  -8.631785   8.000000  -0.000000   0.000000   1.604989
  -8.631785   8.000000   0.000000  -0.000000   1.604989
  -7.880053   8.000000   0.000000   6.000000   0.818478
  -7.880053   8.000000  -0.000000   6.000000   0.818478
  -7.642765   8.000000   0.000000   0.000000   1.803569
  -7.504807   8.000000   0.000000   0.000000   1.878961
  -7.504807   8.000000  -0.000000   0.000000   1.878961
  -7.473087   8.000000   0.000000   2.000000   0.882321
  -7.473087   8.000000   0.000000   2.000000   0.882321
  -7.473087   8.000000   0.000000   2.000000   0.882321
  -7.473087   8.000000  -0.000000   2.000000   0.882321
  -7.263498   8.000000   0.000000   6.000000   0.972318
  -7.263498   8.000000   0.000000   6.000000   0.972318
  -7.263498   8.000000   0.000000   6.000000   0.972318
  -7.263498   8.000000  -0.000000   6.000000   0.972318
  -7.187684   8.000000  -0.000000   6.000000   0.881952
  -7.187684   8.000000   0.000000   6.000000   0.881952
  -7.187684   8.000000  -0.000000   6.000000   0.881952
  -7.187684   8.000000   0.000000   6.000000   0.881952
  -7.084498   8.000000   0.000000   0.000000   0.882920
  -7.084498   8.000000   0.000000  -0.000000   0.882920
  -7.084498   8.000000   0.000000  -0.000000   0.882920
  -7.084498   8.000000  -0.000000   0.000000   0.882920
  -6.963828   8.000000   0.000000   0.000000   2.021668
  -6.936378   8.000000   0.000000   2.000000   0.934742
  -6.936378   8.000000   0.000000   2.000000   0.934742
  -6.936378   8.000000   0.000000   2.000000   0.934742
  -6.936378   8.000000  -0.000000   2.000000   0.934742
  -6.672963   8.000000  -0.000000   2.000000   1.017968
  -6.672963   8.000000   0.000000   2.000000   1.017968
  -6.672963   8.000000  -0.000000   2.000000   1.017968
  -6.672963   8.000000  -0.000000   2.000000   1.017968
  -6.522355   8.000000   0.000000   2.000000   1.130014
  -6.522355   8.000000   0.000000   2.000000   1.130014
  -6.522355   8.000000  -0.000000   2.000000   1.130014
  -6.522355   8.000000  -0.000000   2.000000   1.130014
  -6.512219   8.000000  -0.000000   2.000000   1.221710
  -6.512219   8.000000   0.000000   2.000000   1.221710
  -6.512219   8.000000  -0.000000   2.000000   1.221710
  -6.512219   8.000000  -0.000000   2.000000   1.221710
  -6.442994   8.000000   0.000000   2.000000   1.228849
  -6.442994   8.000000   0.000000   2.000000   1.228849
  -6.440980   8.000000   0.000000   6.000000   1.290851
  -6.440980   8.000000  -0.000000   6.000000   1.290851
  -6.440980   8.000000  -0.000000   6.000000   1.290851
  -6.440980   8.000000  -0.000000   6.000000   1.290851
  -6.413707   8.000000   0.000000   6.000000   1.097623
  -6.413707   8.000000  -0.000000   6.000000   1.097623
  -6.413707   8.000000  -0.000000   6.000000   1.097623
  -6.413707   8.000000  -0.000000   6.000000   1.097623
  -6.139498   8.000000  -0.000000   2.000000   1.326548
  -6.139498   8.000000   0.000000   2.000000   1.326548
  -6.139498   8.000000   0.000000   2.000000   1.326548
  -6.139498   8.000000   0.000000   2.000000   1.326548
  -6.135274   8.000000  -0.000000   0.000000   1.337103
  -6.135274   8.000000  -0.000000  -0.000000   1.337103
  -6.135274   8.000000  -0.000000  -0.000000   1.337103
  -6.135274   8.000000   0.000000   0.000000   1.337103
  -6.104157   8.000000  -0.000000   2.000000   1.347120
  -6.104157   8.000000  -0.000000   2.000000   1.347120
  -6.104157   8.000000  -0.000000   2.000000   1.347120
  -6.104157   8.000000  -0.000000   2.000000   1.347120
  -5.808724   8.000000   0.000000   2.000000   1.374319
  -5.808724   8.000000  -0.000000   2.000000   1.374319
  -5.685131   8.000000  -0.000000   0.000000   1.248096
  -5.685131   8.000000   0.000000   0.000000   1.248096
  -5.685131   8.000000   0.000000  -0.000000   1.248096
  -5.685131   8.000000  -0.000000   0.000000   1.248096
  -5.511308   8.000000  -0.000000   2.000000   1.441996
  -5.511308   8.000000  -0.000000   2.000000   1.441996
  -5.511308   8.000000  -0.000000   2.000000   1.441996
  -5.511308   8.000000  -0.000000   2.000000   1.441996
  -5.509552   8.000000  -0.000000   0.000000   1.416005
  -5.509552   8.000000  -0.000000   0.000000   1.416005
  -5.500677   8.000000   0.000000   0.000000   1.449769
  -5.500677   8.000000   0.000000   0.000000   1.449769
  -5.500677   8.000000  -0.000000   0.000000   1.449769
  -5.500677   8.000000   0.000000  -0.000000   1.449769
  -5.471627   8.000000   0.000000   0.000000   1.434561
  -5.471627   8.000000  -0.000000   0.000000   1.434561
  -5.471627   8.000000  -0.000000  -0.000000   1.434561
  -5.471627   8.000000  -0.000000  -0.000000   1.434561
  -5.360154   8.000000  -0.000000   6.000000   1.557140
  -5.360154   8.000000   0.000000   6.000000   1.557140
  -5.320235   8.000000  -0.000000   0.000000   0.498551
  -5.242622   8.000000  -0.000000   2.000000   0.525022
  -5.190182   8.000000   0.000000   2.000000   1.531060
  -5.190182   8.000000   0.000000   2.000000   1.531060
  -5.179400   8.000000   0.000000   0.000000   1.381021
  -5.179400   8.000000   0.000000  -0.000000   1.381021
  -5.179400   8.000000  -0.000000   0.000000   1.381021
  -5.179400   8.000000   0.000000   0.000000   1.381021
  -5.118612   8.000000  -0.000000   2.000000   1.311597
  -5.118612   8.000000   0.000000   2.000000   1.311597
  -5.118612   8.000000  -0.000000   2.000000   1.311597
  -5.118612   8.000000  -0.000000   2.000000   1.311597
  -5.098906   8.000000  -0.000000   2.000000   1.478018
  -5.098906   8.000000  -0.000000   2.000000   1.478018
  -5.098906   8.000000   0.000000   2.000000   1.478018
  -5.098906   8.000000   0.000000   2.000000   1.478018
  -5.076900   8.000000  -0.000000   6.000000   0.584870
  -5.073734   8.000000  -0.000000   2.000000   1.584138
  -5.073734   8.000000  -0.000000   2.000000   1.584138
  -5.050522   8.000000   0.000000   2.000000   1.568506
  -5.050522   8.000000   0.000000   2.000000   1.568506
  -5.050522   8.000000   0.000000   2.000000   1.568506
  -5.050522   8.000000  -0.000000   2.000000   1.568506
  -4.870179   8.000000   0.000000  12.000000   0.654210
  -4.870179   8.000000   0.000000  12.000000   0.654210
  -4.870179   8.000000   0.000000  12.000000   0.654210
  -4.870179   8.000000  -0.000000  12.000000   0.654210
  -4.837960   8.000000   0.000000   2.000000   1.538419
  -4.837960   8.000000  -0.000000   2.000000   1.538419
  -4.837960   8.000000   0.000000   2.000000   1.538419
  -4.837960   8.000000   0.000000   2.000000   1.538419
  -4.803876   8.000000  -0.000000  -0.000000   1.511511
  -4.803876   8.000000  -0.000000  -0.000000   1.511511
  -4.794765   8.000000  -0.000000  12.000000   0.699568
  -4.768842   8.000000   0.000000   0.000000   1.551543
  -4.768842   8.000000   0.000000   0.000000   1.551543
  -4.768842   8.000000   0.000000   0.000000   1.551543
  -4.768842   8.000000   0.000000  -0.000000   1.551543
  -4.712742   8.000000  -0.000000   2.000000   1.516932
  -4.712742   8.000000  -0.000000   2.000000   1.516932
  -4.712742   8.000000   0.000000   2.000000   1.516932
  -4.712742   8.000000   0.000000   2.000000   1.516932
  -4.686500   8.000000   0.000000   2.000000   1.551033
  -4.686500   8.000000  -0.000000   2.000000   1.551033
  -4.669171   8.000000   0.000000   2.000000   1.557314
  -4.669171   8.000000   0.000000   2.000000   1.557314
  -4.669171   8.000000   0.000000   2.000000   1.557314
  -4.669171   8.000000  -0.000000   2.000000   1.557314
  -4.647745   8.000000   0.000000   2.000000   0.580964
  -4.647745   8.000000  -0.000000   2.000000   0.580964
  -4.595382   8.000000   0.000000   2.000000   1.612543
  -4.512389   8.000000  -0.000000   0.000000   1.258990
  -4.512389   8.000000  -0.000000   0.000000   1.258990
  -4.498094   8.000000  -0.000000  -0.000000   1.645188
  -4.498094   8.000000   0.000000  -0.000000   1.645188
  -4.498094   8.000000   0.000000   0.000000   1.645188
  -4.498094   8.000000   0.000000   0.000000   1.645188
  -4.473091   8.000000   0.000000   2.000000   1.660175
  -4.473091   8.000000  -0.000000   2.000000   1.660175
  -4.464899   8.000000   0.000000   2.000000   1.611121
  -4.464899   8.000000  -0.000000   2.000000   1.611121
  -4.464899   8.000000  -0.000000   2.000000   1.611121
  -4.464899   8.000000  -0.000000   2.000000   1.611121
  -4.407958   8.000000   0.000000   2.000000   1.672132
  -4.407958   8.000000  -0.000000   2.000000   1.672132
  -4.407958   8.000000  -0.000000   2.000000   1.672132
  -4.407958   8.000000  -0.000000   2.000000   1.672132
  -4.379873   8.000000   0.000000   6.000000   0.683296
  -4.379873   8.000000   0.000000   6.000000   0.683296
  -4.321992   8.000000   0.000000   6.000000   0.876455
  -4.321992   8.000000  -0.000000   6.000000   0.876455
  -4.321992   8.000000  -0.000000   6.000000   0.876455
  -4.321992   8.000000  -0.000000   6.000000   0.876455
  -4.310619   8.000000  -0.000000   2.000000   1.731721
  -4.267538   8.000000   0.000000   0.000000   1.667228
  -4.267538   8.000000   0.000000   0.000000   1.667228
  -4.241315   8.000000  -0.000000   0.000000   0.583312
  -4.234418   8.000000   0.000000   2.000000   1.745495
  -4.234418   8.000000   0.000000   2.000000   1.745495
  -4.234418   8.000000  -0.000000   2.000000   1.745495
  -4.234418   8.000000   0.000000   2.000000   1.745495
  -4.204031   8.000000   0.000000   0.000000   1.767208
  -4.204031   8.000000  -0.000000  -0.000000   1.767208
  -4.204031   8.000000   0.000000  -0.000000   1.767208
  -4.204031   8.000000   0.000000  -0.000000   1.767208
  -4.165265   8.000000   0.000000   2.000000   1.610148
  -4.165265   8.000000  -0.000000   2.000000   1.610148
  -4.045192   8.000000  -0.000000   2.000000   0.642173
  -4.011682   8.000000  -0.000000  -0.000000   1.773001
  -4.011682   8.000000   0.000000   0.000000   1.773001
  -4.011682   8.000000  -0.000000   0.000000   1.773001
  -4.011682   8.000000   0.000000   0.000000   1.773001
  -3.898148   8.000000   0.000000   2.000000   1.845563
  -3.898148   8.000000   0.000000   2.000000   1.845563
  -3.898148   8.000000  -0.000000   2.000000   1.845563
  -3.898148   8.000000   0.000000   2.000000   1.845563
  -3.884023   8.000000  -0.000000   2.000000   1.831725
  -3.884023   8.000000  -0.000000   2.000000   1.831725
  -3.884023   8.000000  -0.000000   2.000000   1.831725
  -3.884023   8.000000   0.000000   2.000000   1.831725
  -3.864427   8.000000  -0.000000   2.000000   0.994491
  -3.864427   8.000000  -0.000000   2.000000   0.994491
  -3.864427   8.000000   0.000000   2.000000   0.994491
  -3.864427   8.000000   0.000000   2.000000   0.994491
  -3.796291   8.000000   0.000000   0.000000   1.625595
  -3.796291   8.000000   0.000000  -0.000000   1.625595
  -3.796291   8.000000  -0.000000  -0.000000   1.625595
  -3.796291   8.000000   0.000000   0.000000   1.625595
  -3.645635   8.000000  -0.000000   6.000000   0.946251
  -3.645635   8.000000   0.000000   6.000000   0.946251
  -3.645635   8.000000  -0.000000   6.000000   0.946251
  -3.645635   8.000000   0.000000   6.000000   0.946251
  -3.635644   8.000000  -0.000000  -0.000000   1.758827
  -3.635644   8.000000   0.000000  -0.000000   1.758827
  -3.635644   8.000000   0.000000  -0.000000   1.758827
  -3.635644   8.000000   0.000000  -0.000000   1.758827
  -3.534810   8.000000  -0.000000   0.000000   1.804629
  -3.534810   8.000000   0.000000   0.000000   1.804629
  -3.534810   8.000000   0.000000  -0.000000   1.804629
  -3.534810   8.000000  -0.000000  -0.000000   1.804629
  -3.524211   8.000000  -0.000000   0.000000   0.644500
  -3.509826   8.000000  -0.000000   0.000000   1.898665
  -3.462210   8.000000  -0.000000  -0.000000   1.882406
  -3.449102   8.000000  -0.000000  -0.000000   1.867524
  -3.449102   8.000000  -0.000000  -0.000000   1.867524
  -3.438593   8.000000  -0.000000   2.000000   0.638412
  -3.438593   8.000000   0.000000   2.000000   0.638412
  -3.422449   8.000000   0.000000   2.000000   1.873355
  -3.406146   8.000000  -0.000000   2.000000   1.889081
  -3.323798   8.000000  -0.000000   2.000000   1.924211
  -3.323798   8.000000  -0.000000   2.000000   1.924211
  -3.250361   8.000000  -0.000000   6.000000   0.626601
  -3.250361   8.000000   0.000000   6.000000   0.626601
  -3.183608   8.000000  -0.000000   6.000000   1.141525
  -3.183608   8.000000   0.000000   6.000000   1.141525
  -3.183608   8.000000  -0.000000   6.000000   1.141525
  -3.183608   8.000000  -0.000000   6.000000   1.141525
  -3.136405   8.000000  -0.000000   0.000000   1.806570
  -3.111432   8.000000   0.000000   0.000000   1.828324
  -3.093701   8.000000   0.000000  -0.000000   2.008462
  -3.093701   8.000000  -0.000000  -0.000000   2.008462
  -3.093701   8.000000   0.000000   0.000000   2.008462
  -3.093701   8.000000  -0.000000   0.000000   2.008462
  -3.083084   8.000000   0.000000   2.000000   1.127041
  -3.083084   8.000000  -0.000000   2.000000   1.127041
  -3.083084   8.000000   0.000000   2.000000   1.127041
  -3.083084   8.000000  -0.000000   2.000000   1.127041
  -3.066585   8.000000  -0.000000   2.000000   2.008321
  -3.066585   8.000000   0.000000   2.000000   2.008321
  -3.066585   8.000000   0.000000   2.000000   2.008321
  -3.066585   8.000000   0.000000   2.000000   2.008321
  -3.001348   8.000000   0.000000   6.000000   1.156690
  -3.001348   8.000000  -0.000000   6.000000   1.156690
  -2.991836   8.000000   0.000000   6.000000   0.717404
  -2.987533   8.000000  -0.000000  -0.000000   1.920078
  -2.987533   8.000000   0.000000   0.000000   1.920078
  -2.986358   8.000000   0.000000   2.000000   1.170575
  -2.986358   8.000000   0.000000   2.000000   1.170575
  -2.906337   8.000000  -0.000000  -0.000000   1.192818
  -2.906337   8.000000  -0.000000   0.000000   1.192818
  -2.906337   8.000000  -0.000000   0.000000   1.192818
  -2.906337   8.000000  -0.000000  -0.000000   1.192818
  -2.820386   8.000000  -0.000000   6.000000   1.250273
  -2.820386   8.000000   0.000000   6.000000   1.250273
  -2.820386   8.000000   0.000000   6.000000   1.250273
  -2.820386   8.000000   0.000000   6.000000   1.250273
  -2.686655   8.000000  -0.000000   0.000000   2.042100
  -2.686655   8.000000  -0.000000   0.000000   2.042100
  -2.686655   8.000000  -0.000000   0.000000   2.042100
  -2.686655   8.000000   0.000000   0.000000   2.042100
  -2.678975   8.000000   0.000000   2.000000   1.242959
  -2.678975   8.000000   0.000000   2.000000   1.242959
  -2.678975   8.000000   0.000000   2.000000   1.242959
  -2.678975   8.000000   0.000000   2.000000   1.242959
  -2.641921   8.000000  -0.000000   2.000000   1.136145
  -2.641921   8.000000   0.000000   2.000000   1.136145
  -2.633781   8.000000   0.000000   6.000000   1.191687
  -2.633781   8.000000  -0.000000   6.000000   1.191687
  -2.633781   8.000000   0.000000   6.000000   1.191687
  -2.633781   8.000000   0.000000   6.000000   1.191687
  -2.618203   8.000000   0.000000   6.000000   1.200008
  -2.618203   8.000000  -0.000000   6.000000   1.200008
  -2.618203   8.000000  -0.000000   6.000000   1.200008
  -2.618203   8.000000   0.000000   6.000000   1.200008
  -2.528510   8.000000  -0.000000   6.000000   1.255491
  -2.528510   8.000000   0.000000   6.000000   1.255491
  -2.521219   8.000000  -0.000000   0.000000   1.209957
  -2.479453   8.000000  -0.000000   2.000000   1.270696
  -2.479453   8.000000   0.000000   2.000000   1.270696
  -2.479453   8.000000  -0.000000   2.000000   1.270696
  -2.479453   8.000000   0.000000   2.000000   1.270696
  -2.471433   8.000000  -0.000000   2.000000   1.529014
  -2.471433   8.000000  -0.000000   2.000000   1.529014
  -2.471433   8.000000  -0.000000   2.000000   1.529014
  -2.471433   8.000000  -0.000000   2.000000   1.529014
  -2.446071   8.000000   0.000000   2.000000   1.309678
  -2.446071   8.000000  -0.000000   2.000000   1.309678
  -2.446071   8.000000  -0.000000   2.000000   1.309678
  -2.446071   8.000000  -0.000000   2.000000   1.309678
  -2.444803   8.000000   0.000000   2.000000   1.217147
  -2.444803   8.000000  -0.000000   2.000000   1.217147
  -2.398496   8.000000   0.000000   2.000000   1.238670
  -2.398496   8.000000   0.000000   2.000000   1.238670
  -2.386065   8.000000  -0.000000  -0.000000   2.089831
  -2.386065   8.000000   0.000000   0.000000   2.089831
  -2.386065   8.000000  -0.000000   0.000000   2.089831
  -2.386065   8.000000  -0.000000   0.000000   2.089831
  -2.365011   8.000000   0.000000   2.000000   1.229102
  -2.364211   8.000000  -0.000000  -0.000000   1.599725
  -2.364211   8.000000   0.000000   0.000000   1.599725
  -2.364211   8.000000  -0.000000  -0.000000   1.599725
  -2.364211   8.000000  -0.000000   0.000000   1.599725
  -2.340069   8.000000   0.000000   0.000000   1.229106
  -2.340069   8.000000  -0.000000   0.000000   1.229106
  -2.340069   8.000000   0.000000  -0.000000   1.229106
  -2.340069   8.000000  -0.000000  -0.000000   1.229106
  -2.308953   8.000000  -0.000000  -0.000000   1.274785
  -2.288479   8.000000  -0.000000   2.000000   1.272260
  -2.259299   8.000000   0.000000   0.000000   1.300763
  -2.251256   8.000000   0.000000   6.000000   1.264181
  -2.197812   8.000000   0.000000   6.000000   1.324567
  -2.197812   8.000000  -0.000000   6.000000   1.324567
  -2.197812   8.000000   0.000000   6.000000   1.324567
  -2.197812   8.000000   0.000000   6.000000   1.324567
  -2.131000   8.000000   0.000000   0.000000   1.346158
  -2.131000   8.000000  -0.000000  -0.000000   1.346158
  -2.131000   8.000000   0.000000  -0.000000   1.346158
  -2.131000   8.000000  -0.000000   0.000000   1.346158
  -2.079627   8.000000  -0.000000   2.000000   1.352634
  -2.079627   8.000000  -0.000000   2.000000   1.352634
  -2.079627   8.000000   0.000000   2.000000   1.352634
  -2.079627   8.000000  -0.000000   2.000000   1.352634
  -2.057742   8.000000   0.000000   2.000000   1.304139
  -2.057742   8.000000  -0.000000   2.000000   1.304139
  -2.057742   8.000000   0.000000   2.000000   1.304139
  -2.057742   8.000000  -0.000000   2.000000   1.304139
  -2.027422   8.000000  -0.000000   2.000000   1.368694
  -2.027422   8.000000   0.000000   2.000000   1.368694
  -2.027422   8.000000  -0.000000   2.000000   1.368694
  -2.027422   8.000000   0.000000   2.000000   1.368694
  -2.011514   8.000000  -0.000000   2.000000   1.282368
  -2.011514   8.000000  -0.000000   2.000000   1.282368
  -2.011514   8.000000  -0.000000   2.000000   1.282368
  -2.011514   8.000000  -0.000000   2.000000   1.282368
  -1.926859   8.000000  -0.000000   0.000000   1.260931
  -1.926859   8.000000  -0.000000   0.000000   1.260931
  -1.925211   8.000000  -0.000000   6.000000   1.403925
  -1.925211   8.000000   0.000000   6.000000   1.403925
  -1.925211   8.000000  -0.000000   6.000000   1.403925
  -1.925211   8.000000   0.000000   6.000000   1.403925
  -1.923938   8.000000   0.000000   6.000000   1.401852
  -1.923938   8.000000   0.000000   6.000000   1.401852
  -1.923938   8.000000  -0.000000   6.000000   1.401852
  -1.923938   8.000000  -0.000000   6.000000   1.401852
  -1.904838   8.000000   0.000000   0.000000   1.541454
  -1.904838   8.000000  -0.000000  -0.000000   1.541454
  -1.843891   8.000000  -0.000000   2.000000   1.471416
  -1.843891   8.000000   0.000000   2.000000   1.471416
  -1.834194   8.000000  -0.000000   2.000000   1.575230
  -1.834194   8.000000   0.000000   2.000000   1.575230
  -1.806458   8.000000   0.000000   6.000000   1.463556
  -1.806458   8.000000  -0.000000   6.000000   1.463556
  -1.806424   8.000000   0.000000  12.000000   0.335409
  -1.806424   8.000000  -0.000000  12.000000   0.335409
  -1.789629   8.000000   0.000000   6.000000   1.333767
  -1.789629   8.000000  -0.000000   6.000000   1.333767
  -1.789629   8.000000   0.000000   6.000000   1.333767
  -1.789629   8.000000  -0.000000   6.000000   1.333767
  -1.765580   8.000000  -0.000000   2.000000   1.421332
  -1.765580   8.000000   0.000000   2.000000   1.421332
  -1.765580   8.000000  -0.000000   2.000000   1.421332
  -1.765580   8.000000  -0.000000   2.000000   1.421332
  -1.746745   8.000000   0.000000   2.000000   1.401458
  -1.746745   8.000000   0.000000   2.000000   1.401458
  -1.746745   8.000000  -0.000000   2.000000   1.401458
  -1.746745   8.000000  -0.000000   2.000000   1.401458
  -1.690397   8.000000  -0.000000   2.000000   1.392844
  -1.690397   8.000000   0.000000   2.000000   1.392844
  -1.690397   8.000000   0.000000   2.000000   1.392844
  -1.690397   8.000000  -0.000000   2.000000   1.392844
  -1.661435   8.000000  -0.000000   2.000000   1.363040
  -1.661435   8.000000  -0.000000   2.000000   1.363040
  -1.558376   8.000000  -0.000000   0.000000   1.359203
  -1.558376   8.000000   0.000000   0.000000   1.359203
  -1.558376   8.000000   0.000000  -0.000000   1.359203
  -1.558376   8.000000   0.000000   0.000000   1.359203
  -1.554598   8.000000   0.000000   0.000000   1.816409
  -1.554598   8.000000   0.000000  -0.000000   1.816409
  -1.551234   8.000000   0.000000   2.000000   1.463843
  -1.551234   8.000000  -0.000000   2.000000   1.463843
  -1.551234   8.000000  -0.000000   2.000000   1.463843
  -1.551234   8.000000  -0.000000   2.000000   1.463843
  -1.527605   8.000000  -0.000000  -0.000000   1.486506
  -1.527605   8.000000   0.000000  -0.000000   1.486506
  -1.527605   8.000000  -0.000000  -0.000000   1.486506
  -1.527605   8.000000  -0.000000   0.000000   1.486506
  -1.522268   8.000000  -0.000000   6.000000   1.476933
  -1.522268   8.000000  -0.000000   6.000000   1.476933
  -1.522268   8.000000   0.000000   6.000000   1.476933
  -1.522268   8.000000   0.000000   6.000000   1.476933
  -1.513292   8.000000  -0.000000  -0.000000   1.546112
  -1.513292   8.000000  -0.000000   0.000000   1.546112
  -1.513292   8.000000   0.000000  -0.000000   1.546112
  -1.513292   8.000000   0.000000   0.000000   1.546112
  -1.501697   8.000000  -0.000000   6.000000   1.487662
  -1.501697   8.000000  -0.000000   6.000000   1.487662
  -1.501697   8.000000   0.000000   6.000000   1.487662
  -1.501697   8.000000   0.000000   6.000000   1.487662
  -1.483554   8.000000   0.000000   2.000000   1.511083
  -1.483554   8.000000  -0.000000   2.000000   1.511083
  -1.453303   8.000000  -0.000000   2.000000   1.467424
  -1.453303   8.000000   0.000000   2.000000   1.467424
  -1.453303   8.000000   0.000000   2.000000   1.467424
