LanczosStep  E[1] E[2] E[3] E[4] E_Max/Nsite
stp = 2 6.2485956977 16.5206350716 xxxxxxxxxx xxxxxxxxx xxxxxxxxx 
stp=4 -0.7610272717 7.0859609690 14.3252071639 20.7066389081 2.5883298635
stp=6 -4.2505709494 1.4320504525 7.3551662608 13.1444539624 2.8317017835
stp=8 -7.0508293437 -2.6624306226 2.2786467872 7.3277451558 2.9880355278
stp=10 -9.3613186193 -4.4219036070 -0.1756650447 4.0884638812 3.1856348608
stp=12 -9.7662810696 -5.7098804784 -3.5009806602 0.4079523231 3.3037474169
stp=14 -9.9255128069 -7.6927982150 -4.5476518191 -1.8259761376 3.3239887163
stp=16 -10.0237154330 -8.6780619565 -5.4607222419 -3.7989307378 3.3362875450
stp=18 -10.1302592331 -9.3313821447 -7.1197228849 -4.6854248785 3.3543273326
stp=20 -10.3028413159 -9.7299038532 -8.0887631042 -5.4945205708 3.3614014674
stp=22 -10.4093995702 -9.8342608080 -8.4188098131 -6.2144500371 3.3677573562
stp=24 -10.4436843903 -9.8647680587 -8.6177955154 -7.1593082312 3.3714099734
stp=26 -10.4491891153 -9.8709647512 -8.7021893471 -7.5597588570 3.3726843001
stp=28 -10.4520067673 -9.8762505266 -8.9879677280 -8.3855369061 3.3730362895
stp=30 -10.4537459534 -9.8846309444 -9.4998637113 -8.5906023701 3.3730949818
stp=32 -10.4543095870 -9.8922298200 -9.6516961693 -8.6245888786 3.3731036100
stp=34 -10.4543784675 -9.8939462968 -9.6725550050 -8.6317366425 3.3731065650
stp=36 -10.4543882096 -9.8942821344 -9.6766053397 -8.6343103760 3.3731087289
stp=38 -10.4543940218 -9.8946424632 -9.6821658606 -8.9252578300 3.3731097095
stp=40 -10.4543976805 -9.8953210988 -9.7047543801 -9.5345115955 3.3731101263
stp=42 -10.4543986181 -9.8958535138 -9.7405457374 -9.6180799510 3.3731103830
stp=44 -10.4543987724 -9.8960248135 -9.7531483718 -9.6289857657 3.3731104978
stp=46 -10.4543987858 -9.8960459552 -9.7547343246 -9.6301643692 3.3731105134
stp=48 -10.4543987872 -9.8960488042 -9.7549610925 -9.6303389358 3.3731105152
stp=50 -10.4543987874 -9.8960493263 -9.7550056778 -9.6303754437 3.3731105156
stp=52 -10.4543987874 -9.8960493836 -9.7550109041 -9.6303799880 3.3731105157
stp=54 -10.4543987874 -9.8960493863 -9.7550111702 -9.6303802307 3.3731105157
stp=56 -10.4543987874 -9.8960493865 -9.7550111847 -9.6303802446 3.3731105157
stp=58 -10.4543987874 -9.8960493865 -9.7550111858 -9.6303802457 3.3731105157
stp=60 -10.4543987874 -9.8960493865 -9.7550111859 -9.6303802458 3.3731105157
stp=62 -10.4543987874 -9.8960493865 -9.7550111859 -9.6303802458 3.3731105157
