  <H>         <N>        <Sz>       <S2>       <D> 
  -7.142296   0.000000   0.000000   0.000000   0.000000
  -6.872107   0.000000   0.000000   2.000000   0.000000
  -6.696547   0.000000   0.000000   0.000000   0.000000
  -6.523407   0.000000   0.000000   2.000000   0.000000
  -6.523407   0.000000   0.000000   2.000000   0.000000
  -6.298653   0.000000   0.000000   2.000000   0.000000
  -6.298653   0.000000   0.000000   2.000000   0.000000
  -6.122315   0.000000   0.000000   6.000000   0.000000
  -6.085830   0.000000   0.000000   0.000000   0.000000
  -6.085830   0.000000   0.000000   0.000000   0.000000
  -5.990987   0.000000   0.000000   2.000000   0.000000
  -5.990987   0.000000   0.000000   2.000000   0.000000
  -5.964250   0.000000   0.000000   0.000000   0.000000
  -5.964250   0.000000   0.000000  -0.000000   0.000000
  -5.823231   0.000000   0.000000   2.000000   0.000000
  -5.823231   0.000000   0.000000   2.000000   0.000000
  -5.779925   0.000000   0.000000   6.000000   0.000000
  -5.779925   0.000000   0.000000   6.000000   0.000000
  -5.747596   0.000000   0.000000   2.000000   0.000000
  -5.746266   0.000000   0.000000   2.000000   0.000000
  -5.619075   0.000000   0.000000  -0.000000   0.000000
  -5.619075   0.000000   0.000000  -0.000000   0.000000
  -5.615176   0.000000   0.000000   2.000000   0.000000
  -5.615176   0.000000   0.000000   2.000000   0.000000
  -5.607150   0.000000   0.000000   6.000000   0.000000
  -5.607150   0.000000   0.000000   6.000000   0.000000
  -5.591290   0.000000   0.000000   0.000000   0.000000
  -5.542397   0.000000   0.000000  -0.000000   0.000000
  -5.542397   0.000000   0.000000   0.000000   0.000000
  -5.525353   0.000000   0.000000   2.000000   0.000000
  -5.525353   0.000000   0.000000   2.000000   0.000000
  -5.473399   0.000000   0.000000  -0.000000   0.000000
  -5.451966   0.000000   0.000000   2.000000   0.000000
  -5.451966   0.000000   0.000000   2.000000   0.000000
  -5.436530   0.000000   0.000000   2.000000   0.000000
  -5.436530   0.000000   0.000000   2.000000   0.000000
  -5.414244   0.000000   0.000000   2.000000   0.000000
  -5.414244   0.000000   0.000000   2.000000   0.000000
  -5.404132   0.000000   0.000000   2.000000   0.000000
  -5.404132   0.000000   0.000000   2.000000   0.000000
  -5.353946   0.000000   0.000000  -0.000000   0.000000
  -5.353946   0.000000   0.000000   0.000000   0.000000
  -5.335725   0.000000   0.000000   6.000000   0.000000
  -5.335725   0.000000   0.000000   6.000000   0.000000
  -5.327618   0.000000   0.000000  -0.000000   0.000000
  -5.327618   0.000000   0.000000   0.000000   0.000000
  -5.277294   0.000000   0.000000   2.000000   0.000000
  -5.277294   0.000000   0.000000   2.000000   0.000000
  -5.276768   0.000000   0.000000   6.000000   0.000000
  -5.276768   0.000000   0.000000   6.000000   0.000000
  -5.223594   0.000000   0.000000   6.000000   0.000000
  -5.223594   0.000000   0.000000   6.000000   0.000000
  -5.221622   0.000000   0.000000   2.000000   0.000000
  -5.221622   0.000000   0.000000   2.000000   0.000000
  -5.175167   0.000000   0.000000   2.000000   0.000000
  -5.175167   0.000000   0.000000   2.000000   0.000000
  -5.098158   0.000000   0.000000   6.000000   0.000000
  -5.076036   0.000000   0.000000   0.000000   0.000000
  -5.076036   0.000000   0.000000  -0.000000   0.000000
  -5.074763   0.000000   0.000000   6.000000   0.000000
  -5.074763   0.000000   0.000000   6.000000   0.000000
  -5.069234   0.000000   0.000000   6.000000   0.000000
  -5.069234   0.000000   0.000000   6.000000   0.000000
  -5.064788   0.000000   0.000000  -0.000000   0.000000
  -5.064788   0.000000   0.000000  -0.000000   0.000000
  -5.043729   0.000000   0.000000   2.000000   0.000000
  -5.043729   0.000000   0.000000   2.000000   0.000000
  -5.035854   0.000000   0.000000   6.000000   0.000000
  -5.035854   0.000000   0.000000   6.000000   0.000000
  -5.011280   0.000000   0.000000   0.000000   0.000000
  -5.011280   0.000000   0.000000  -0.000000   0.000000
  -5.006176   0.000000   0.000000   2.000000   0.000000
  -5.006176   0.000000   0.000000   2.000000   0.000000
  -4.995767   0.000000   0.000000   2.000000   0.000000
  -4.995767   0.000000   0.000000   2.000000   0.000000
  -4.976968   0.000000   0.000000   2.000000   0.000000
  -4.976968   0.000000   0.000000   2.000000   0.000000
  -4.974583   0.000000   0.000000  12.000000   0.000000
  -4.962579   0.000000   0.000000  -0.000000   0.000000
  -4.962579   0.000000   0.000000   0.000000   0.000000
  -4.901413   0.000000   0.000000   2.000000   0.000000
  -4.901413   0.000000   0.000000   2.000000   0.000000
  -4.894289   0.000000   0.000000   2.000000   0.000000
  -4.894289   0.000000   0.000000   2.000000   0.000000
  -4.867199   0.000000   0.000000   2.000000   0.000000
  -4.867199   0.000000   0.000000   2.000000   0.000000
  -4.847155   0.000000   0.000000   2.000000   0.000000
  -4.847155   0.000000   0.000000   2.000000   0.000000
  -4.843511   0.000000   0.000000   2.000000   0.000000
  -4.843511   0.000000   0.000000   2.000000   0.000000
  -4.837787   0.000000   0.000000   6.000000   0.000000
  -4.837787   0.000000   0.000000   6.000000   0.000000
  -4.831280   0.000000   0.000000   6.000000   0.000000
  -4.831280   0.000000   0.000000   6.000000   0.000000
  -4.815168   0.000000   0.000000   6.000000   0.000000
  -4.815168   0.000000   0.000000   6.000000   0.000000
  -4.814244   0.000000   0.000000   0.000000   0.000000
  -4.807998   0.000000   0.000000   2.000000   0.000000
  -4.797748   0.000000   0.000000   6.000000   0.000000
  -4.797748   0.000000   0.000000   6.000000   0.000000
  -4.772939   0.000000   0.000000   2.000000   0.000000
  -4.772939   0.000000   0.000000   2.000000   0.000000
  -4.769921   0.000000   0.000000   2.000000   0.000000
  -4.769921   0.000000   0.000000   2.000000   0.000000
  -4.754250   0.000000   0.000000  -0.000000   0.000000
  -4.754250   0.000000   0.000000   0.000000   0.000000
  -4.737786   0.000000   0.000000   0.000000   0.000000
  -4.737786   0.000000   0.000000  -0.000000   0.000000
  -4.734971   0.000000   0.000000   2.000000   0.000000
  -4.734971   0.000000   0.000000   2.000000   0.000000
  -4.734411   0.000000   0.000000   0.000000   0.000000
  -4.734411   0.000000   0.000000  -0.000000   0.000000
  -4.730060   0.000000   0.000000   0.000000   0.000000
  -4.730060   0.000000   0.000000  -0.000000   0.000000
  -4.713765   0.000000   0.000000   6.000000   0.000000
  -4.713765   0.000000   0.000000   6.000000   0.000000
  -4.699122   0.000000   0.000000   6.000000   0.000000
  -4.699122   0.000000   0.000000   6.000000   0.000000
  -4.698636   0.000000   0.000000   2.000000   0.000000
  -4.690892   0.000000   0.000000   2.000000   0.000000
  -4.690892   0.000000   0.000000   2.000000   0.000000
  -4.658983   0.000000   0.000000  12.000000   0.000000
  -4.658983   0.000000   0.000000  12.000000   0.000000
  -4.640427   0.000000   0.000000   2.000000   0.000000
  -4.640427   0.000000   0.000000   2.000000   0.000000
  -4.624380   0.000000   0.000000   2.000000   0.000000
  -4.624380   0.000000   0.000000   2.000000   0.000000
  -4.613635   0.000000   0.000000   0.000000   0.000000
  -4.613635   0.000000   0.000000  -0.000000   0.000000
  -4.574231   0.000000   0.000000   6.000000   0.000000
  -4.574231   0.000000   0.000000   6.000000   0.000000
  -4.573411   0.000000   0.000000   6.000000   0.000000
  -4.573411   0.000000   0.000000   6.000000   0.000000
  -4.565788   0.000000   0.000000  -0.000000   0.000000
  -4.554257   0.000000   0.000000   0.000000   0.000000
  -4.549183   0.000000   0.000000   2.000000   0.000000
  -4.549183   0.000000   0.000000   2.000000   0.000000
  -4.548711   0.000000   0.000000   6.000000   0.000000
  -4.548711   0.000000   0.000000   6.000000   0.000000
  -4.536081   0.000000   0.000000  12.000000   0.000000
  -4.536081   0.000000   0.000000  12.000000   0.000000
  -4.529404   0.000000   0.000000   2.000000   0.000000
  -4.529404   0.000000   0.000000   2.000000   0.000000
  -4.524732   0.000000   0.000000   6.000000   0.000000
  -4.524732   0.000000   0.000000   6.000000   0.000000
  -4.519813   0.000000   0.000000   6.000000   0.000000
  -4.519813   0.000000   0.000000   6.000000   0.000000
  -4.513458   0.000000   0.000000  -0.000000   0.000000
  -4.513458   0.000000   0.000000  -0.000000   0.000000
  -4.506696   0.000000   0.000000   6.000000   0.000000
  -4.506696   0.000000   0.000000   6.000000   0.000000
  -4.502503   0.000000   0.000000   2.000000   0.000000
  -4.502503   0.000000   0.000000   2.000000   0.000000
  -4.501938   0.000000   0.000000   6.000000   0.000000
  -4.501938   0.000000   0.000000   6.000000   0.000000
  -4.486890   0.000000   0.000000   0.000000   0.000000
  -4.486890   0.000000   0.000000   0.000000   0.000000
  -4.482679   0.000000   0.000000   2.000000   0.000000
  -4.482679   0.000000   0.000000   2.000000   0.000000
  -4.466633   0.000000   0.000000   2.000000   0.000000
  -4.466633   0.000000   0.000000   2.000000   0.000000
  -4.436601   0.000000   0.000000   0.000000   0.000000
  -4.436601   0.000000   0.000000   0.000000   0.000000
  -4.429666   0.000000   0.000000   2.000000   0.000000
  -4.429666   0.000000   0.000000   2.000000   0.000000
  -4.421957   0.000000   0.000000   2.000000   0.000000
  -4.421957   0.000000   0.000000   2.000000   0.000000
  -4.414208   0.000000   0.000000   2.000000   0.000000
  -4.414208   0.000000   0.000000   2.000000   0.000000
  -4.410945   0.000000   0.000000   2.000000   0.000000
  -4.410945   0.000000   0.000000   2.000000   0.000000
  -4.406807   0.000000   0.000000   6.000000   0.000000
  -4.404323   0.000000   0.000000   2.000000   0.000000
  -4.404323   0.000000   0.000000   2.000000   0.000000
  -4.393444   0.000000   0.000000  -0.000000   0.000000
  -4.393444   0.000000   0.000000   0.000000   0.000000
  -4.392194   0.000000   0.000000   6.000000   0.000000
  -4.392194   0.000000   0.000000   6.000000   0.000000
  -4.376247   0.000000   0.000000   2.000000   0.000000
  -4.376247   0.000000   0.000000   2.000000   0.000000
  -4.375525   0.000000   0.000000   6.000000   0.000000
  -4.375525   0.000000   0.000000   6.000000   0.000000
  -4.357834   0.000000   0.000000   2.000000   0.000000
  -4.357834   0.000000   0.000000   2.000000   0.000000
  -4.354769   0.000000   0.000000   2.000000   0.000000
  -4.354769   0.000000   0.000000   2.000000   0.000000
  -4.347873   0.000000   0.000000   2.000000   0.000000
  -4.347873   0.000000   0.000000   2.000000   0.000000
  -4.332604   0.000000   0.000000   2.000000   0.000000
  -4.332604   0.000000   0.000000   2.000000   0.000000
  -4.324360   0.000000   0.000000   6.000000   0.000000
  -4.319741   0.000000   0.000000  12.000000   0.000000
  -4.319741   0.000000   0.000000  12.000000   0.000000
  -4.314162   0.000000   0.000000   6.000000   0.000000
  -4.314162   0.000000   0.000000   6.000000   0.000000
  -4.303330   0.000000   0.000000   0.000000   0.000000
  -4.303330   0.000000   0.000000  -0.000000   0.000000
  -4.299921   0.000000   0.000000   2.000000   0.000000
  -4.299921   0.000000   0.000000   2.000000   0.000000
  -4.293576   0.000000   0.000000  -0.000000   0.000000
  -4.293576   0.000000   0.000000   0.000000   0.000000
  -4.291950   0.000000   0.000000   2.000000   0.000000
  -4.291950   0.000000   0.000000   2.000000   0.000000
  -4.254930   0.000000   0.000000  12.000000   0.000000
  -4.254930   0.000000   0.000000  12.000000   0.000000
  -4.251600   0.000000   0.000000   2.000000   0.000000
  -4.251600   0.000000   0.000000   2.000000   0.000000
  -4.245349   0.000000   0.000000   2.000000   0.000000
  -4.245349   0.000000   0.000000   2.000000   0.000000
  -4.244360   0.000000   0.000000   6.000000   0.000000
  -4.244360   0.000000   0.000000   6.000000   0.000000
  -4.227579   0.000000   0.000000  -0.000000   0.000000
  -4.227579   0.000000   0.000000   0.000000   0.000000
  -4.226659   0.000000   0.000000  -0.000000   0.000000
  -4.226659   0.000000   0.000000  -0.000000   0.000000
  -4.219794   0.000000   0.000000   2.000000   0.000000
  -4.219794   0.000000   0.000000   2.000000   0.000000
  -4.212445   0.000000   0.000000   6.000000   0.000000
  -4.212445   0.000000   0.000000   6.000000   0.000000
  -4.202947   0.000000   0.000000   6.000000   0.000000
  -4.202947   0.000000   0.000000   6.000000   0.000000
  -4.197144   0.000000   0.000000   2.000000   0.000000
  -4.197144   0.000000   0.000000   2.000000   0.000000
  -4.194177   0.000000   0.000000   2.000000   0.000000
  -4.194177   0.000000   0.000000   2.000000   0.000000
  -4.192615   0.000000   0.000000   6.000000   0.000000
  -4.192615   0.000000   0.000000   6.000000   0.000000
  -4.188788   0.000000   0.000000   2.000000   0.000000
  -4.187850   0.000000   0.000000  -0.000000   0.000000
  -4.187850   0.000000   0.000000   0.000000   0.000000
  -4.184118   0.000000   0.000000   2.000000   0.000000
  -4.184118   0.000000   0.000000   2.000000   0.000000
  -4.184066   0.000000   0.000000   6.000000   0.000000
  -4.184066   0.000000   0.000000   6.000000   0.000000
  -4.183180   0.000000   0.000000  12.000000   0.000000
  -4.183180   0.000000   0.000000  12.000000   0.000000
  -4.178237   0.000000   0.000000  12.000000   0.000000
  -4.178237   0.000000   0.000000  12.000000   0.000000
  -4.177786   0.000000   0.000000   2.000000   0.000000
  -4.177786   0.000000   0.000000   2.000000   0.000000
  -4.177346   0.000000   0.000000  -0.000000   0.000000
  -4.177346   0.000000   0.000000  -0.000000   0.000000
  -4.173075   0.000000   0.000000   0.000000   0.000000
  -4.173075   0.000000   0.000000   0.000000   0.000000
  -4.161394   0.000000   0.000000   2.000000   0.000000
  -4.161394   0.000000   0.000000   2.000000   0.000000
  -4.161360   0.000000   0.000000   0.000000   0.000000
  -4.161360   0.000000   0.000000   0.000000   0.000000
  -4.156339   0.000000   0.000000   2.000000   0.000000
  -4.156339   0.000000   0.000000   2.000000   0.000000
  -4.152095   0.000000   0.000000   2.000000   0.000000
  -4.152095   0.000000   0.000000   2.000000   0.000000
  -4.145255   0.000000   0.000000   2.000000   0.000000
  -4.140077   0.000000   0.000000   6.000000   0.000000
  -4.140077   0.000000   0.000000   6.000000   0.000000
  -4.132239   0.000000   0.000000   6.000000   0.000000
  -4.132239   0.000000   0.000000   6.000000   0.000000
  -4.122872   0.000000   0.000000   2.000000   0.000000
  -4.122872   0.000000   0.000000   2.000000   0.000000
  -4.121971   0.000000   0.000000   6.000000   0.000000
  -4.121971   0.000000   0.000000   6.000000   0.000000
  -4.108998   0.000000   0.000000  -0.000000   0.000000
  -4.108998   0.000000   0.000000  -0.000000   0.000000
  -4.106729   0.000000   0.000000   2.000000   0.000000
  -4.106729   0.000000   0.000000   2.000000   0.000000
  -4.105880   0.000000   0.000000   6.000000   0.000000
  -4.105880   0.000000   0.000000   6.000000   0.000000
  -4.096723   0.000000   0.000000  12.000000   0.000000
  -4.086654   0.000000   0.000000   2.000000   0.000000
  -4.086654   0.000000   0.000000   2.000000   0.000000
  -4.077485   0.000000   0.000000   6.000000   0.000000
  -4.064409   0.000000   0.000000  -0.000000   0.000000
  -4.064409   0.000000   0.000000   0.000000   0.000000
  -4.061212   0.000000   0.000000   6.000000   0.000000
  -4.061212   0.000000   0.000000   6.000000   0.000000
  -4.058668   0.000000   0.000000   0.000000   0.000000
  -4.057116   0.000000   0.000000   6.000000   0.000000
  -4.057116   0.000000   0.000000   6.000000   0.000000
  -4.053285   0.000000   0.000000   0.000000   0.000000
  -4.053285   0.000000   0.000000   0.000000   0.000000
  -4.048557   0.000000   0.000000   6.000000   0.000000
  -4.048557   0.000000   0.000000   6.000000   0.000000
  -4.041994   0.000000   0.000000   6.000000   0.000000
  -4.041994   0.000000   0.000000   6.000000   0.000000
  -4.037989   0.000000   0.000000  -0.000000   0.000000
  -4.032301   0.000000   0.000000  12.000000   0.000000
  -4.032301   0.000000   0.000000  12.000000   0.000000
  -4.022316   0.000000   0.000000   6.000000   0.000000
  -4.022316   0.000000   0.000000   6.000000   0.000000
  -4.010212   0.000000   0.000000   6.000000   0.000000
  -4.010212   0.000000   0.000000   6.000000   0.000000
  -4.000734   0.000000   0.000000   2.000000   0.000000
  -3.997228   0.000000   0.000000   2.000000   0.000000
  -3.997228   0.000000   0.000000   2.000000   0.000000
  -3.993024   0.000000   0.000000   6.000000   0.000000
  -3.993024   0.000000   0.000000   6.000000   0.000000
  -3.987771   0.000000   0.000000   2.000000   0.000000
  -3.987771   0.000000   0.000000   2.000000   0.000000
  -3.986215   0.000000   0.000000  -0.000000   0.000000
  -3.986215   0.000000   0.000000  -0.000000   0.000000
  -3.983166   0.000000   0.000000   6.000000   0.000000
  -3.983166   0.000000   0.000000   6.000000   0.000000
  -3.982133   0.000000   0.000000   2.000000   0.000000
  -3.982133   0.000000   0.000000   2.000000   0.000000
  -3.978448   0.000000   0.000000   6.000000   0.000000
