LanczosStep  E[1] E[2] E[3] E[4] Target:E[3] E_Max/Nsite
stp = 2 -2.2700954346 1.3031067807 xxxxxxxxxx xxxxxxxxx 0.0000000000 xxxxxxxxx 
stp=4 -4.7909844837 -2.0531496593 0.4661906221 2.6640344966 0.4661906221 0.1665021560
stp=6 -6.1960805518 -4.0596382786 -2.0048135357 -0.0340958766 -2.0048135357 0.1998328432
stp=8 -6.8017574898 -5.2392406055 -3.5756389330 -1.9261104341 -3.5756389330 0.2159640714
stp=10 -6.9838474935 -5.8777074720 -4.6461246786 -3.2836220933 -4.6461246786 0.2253448031
stp=12 -7.0685028150 -6.3906609270 -5.3693317076 -4.2097379455 -5.3693317076 0.2316736573
stp=14 -7.1147582799 -6.6480202261 -5.7585348049 -4.8918369590 -5.7585348049 0.2364410466
stp=16 -7.1328681537 -6.7504352102 -6.0611685012 -5.3651582581 -6.0611685012 0.2411208587
stp=18 -7.1390471834 -6.8009037529 -6.3044224454 -5.6699391254 -6.3044224454 0.2451380479
stp=20 -7.1413900266 -6.8362448601 -6.4958855416 -5.9315188330 -6.4958855416 0.2474286419
stp=22 -7.1420826591 -6.8562896410 -6.5887934546 -6.0831982167 -6.5887934546 0.2485265841
stp=24 -7.1422415769 -6.8648273816 -6.6306247978 -6.2060528301 -6.6306247978 0.2491196006
stp=26 -7.1422854997 -6.8694510916 -6.6623733647 -6.3579856513 -6.6623733647 0.2494890159
stp=28 -7.1422944134 -6.8712753656 -6.6810425824 -6.4414609827 -6.6810425824 0.2497181440
stp=30 -7.1422960533 -6.8718886134 -6.6906034111 -6.4848343413 -6.6906034111 0.2498512318
stp=32 -7.1422963205 -6.8720619912 -6.6947985204 -6.5083787020 -6.6947985204 0.2499186408
stp=34 -7.1422963568 -6.8721002145 -6.6961945125 -6.5191728135 -6.6961945125 0.2499520630
stp=36 -7.1422963602 -6.8721057887 -6.6964824408 -6.5223231205 -6.6964824408 0.2499706162
stp=38 -7.1422963606 -6.8721065685 -6.6965367921 -6.5231603255 -6.6965367921 0.2499838363
stp=40 -7.1422963606 -6.8721066645 -6.6965456691 -6.5233511972 -6.6965456691 0.2499922593
stp=42 -7.1422963606 -6.8721066768 -6.6965471734 -6.5233962032 -6.6965471734 0.2499966800
stp=44 -7.1422963606 -6.8721066782 -6.6965473982 -6.5234054197 -6.6965473982 0.2499987111
stp=46 -7.1422963606 -6.8721066784 -6.6965474227 -6.5234067468 -6.6965474227 0.2499995309
stp=48 -7.1422963606 -6.8721066784 -6.6965474259 -6.5234069764 -6.6965474259 0.2499998124
stp=50 -7.1422963606 -6.8721066784 -6.6965474264 -6.5234070344 -6.6965474264 0.2499999231
stp=52 -7.1422963606 -6.8721066784 -6.6965474266 -6.5234070535 -6.6965474266 0.2499999693
stp=54 -7.1422963606 -6.8721066784 -6.6965474266 -6.5234070568 -6.6965474266 0.2499999878
stp=56 -7.1422963606 -6.8721066784 -6.6965474266 -6.5234070573 -6.6965474266 0.2499999954
stp=58 -7.1422963606 -6.8721066784 -6.6965474266 -6.5234070574 -6.6965474266 0.2499999984
stp=60 -7.1422963606 -6.8721066784 -6.6965474266 -6.5234070574 -6.6965474266 0.2499999995
