LanczosStep  E[1] E[2] E[3] E[4] E_Max/Nsite
stp = 2 5.0000000000 9.0000000000 xxxxxxxxxx xxxxxxxxx xxxxxxxxx 
stp=4 2.0098148960 5.3775560971 8.3017093376 11.4096980520 0.3803232684
stp=6 -0.0995075090 2.7885943308 5.4152123685 7.8031585894 0.4211203864
stp=8 -2.0485032631 0.7251852852 3.0955801961 5.3275101611 0.4430740827
stp=10 -3.9354180904 -1.0838030598 1.1340184071 3.2016841735 0.4570416387
stp=12 -5.5065289437 -2.7988177673 -0.5695098861 1.3550841147 0.4659095969
stp=14 -6.9151790871 -4.4136380442 -2.1725918770 -0.2606399630 0.4722039159
stp=16 -8.2416400205 -5.7865755919 -3.7131879258 -1.7742766176 0.4775845170
stp=18 -9.3765148602 -7.0357092815 -5.0751037820 -3.2232368034 0.4818231030
stp=20 -10.2843994559 -8.1532051881 -6.2423832180 -4.5344600366 0.4851383288
stp=22 -10.9782744736 -9.0942951097 -7.2995005214 -5.6517522155 0.4882547560
stp=24 -11.4649669051 -9.8432476594 -8.2166219713 -6.6418009599 0.4907637062
stp=26 -11.8077014403 -10.4525079784 -8.9974563890 -7.5288805734 0.4927936721
stp=28 -12.0750619091 -10.9569996645 -9.6544637607 -8.3131373142 0.4945944458
stp=30 -12.2930667267 -11.3434482074 -10.1872979551 -8.9755254676 0.4960385894
stp=32 -12.4597507909 -11.6230247395 -10.6243531987 -9.5340243086 0.4971588434
stp=34 -12.5903835507 -11.8536397768 -11.0118249170 -10.0233682908 0.4980669414
stp=36 -12.7009134460 -12.0603730753 -11.3263048659 -10.4251411289 0.4987503719
stp=38 -12.7982390251 -12.2366629314 -11.5666114588 -10.7749017988 0.4992278053
stp=40 -12.8817029381 -12.3762580958 -11.7617240078 -11.0794540548 0.4995566594
stp=42 -12.9504531407 -12.4870253968 -11.9350132600 -11.3322561801 0.4997674101
stp=44 -13.0070318805 -12.5813989441 -12.0942948408 -11.5396495640 0.4998871337
stp=46 -13.0551418091 -12.6674542169 -12.2352288598 -11.7140837946 0.4999494913
stp=48 -13.0978541085 -12.7477330029 -12.3540865430 -11.8693055877 0.4999792701
stp=50 -13.1372630623 -12.8213621563 -12.4535651636 -12.0128511440 0.4999921481
stp=52 -13.1749406033 -12.8874710975 -12.5402820926 -12.1453480760 0.4999971009
stp=54 -13.2104186124 -12.9438977865 -12.6167798200 -12.2596698876 0.4999989012
stp=56 -13.2418469394 -12.9896925105 -12.6838713078 -12.3545523365 0.4999995684
stp=58 -13.2689377855 -13.0279213437 -12.7457101017 -12.4383201677 0.4999998223
stp=60 -13.2927156408 -13.0625146504 -12.8058829692 -12.5162684419 0.4999999252
stp=62 -13.3132064282 -13.0944222400 -12.8611820521 -12.5843304653 0.4999999689
stp=64 -13.3298712106 -13.1226108228 -12.9070764241 -12.6407829713 0.4999999874
stp=66 -13.3429053765 -13.1469313876 -12.9444716976 -12.6908179270 0.4999999948
stp=68 -13.3528889516 -13.1679410874 -12.9761932221 -12.7389835675 0.4999999977
stp=70 -13.3601954792 -13.1856555236 -13.0034523579 -12.7846009650 0.4999999990
stp=72 -13.3651303658 -13.1996955148 -13.0261383651 -12.8241591415 0.4999999996
stp=74 -13.3682713426 -13.2104160903 -13.0449327719 -12.8574889561 0.4999999999
stp=76 -13.3702720012 -13.2188519026 -13.0615797554 -12.8876033381 0.5000000000
