  <H>         <N>        <Sz>       <S2>       <D> 
  -2.450071  12.000000  -0.000000  13.112225   0.000000
  -2.450071  12.000000  -0.000000  13.112225   0.000000
  -2.450071  12.000000  -0.000000  13.112225   0.000000
  -2.450071  12.000000  -0.000000  16.263890   0.000000
  -2.342779  12.000000   0.000000  17.697179   0.000000
  -2.342779  12.000000   0.000000  12.348351   0.000000
  -2.342779  12.000000  -0.000000  12.348351   0.000000
  -2.342779  12.000000  -0.000000  12.348351   0.000000
  -2.323739  12.000000   0.139445  14.507241   0.000000
  -2.323739  12.000000  -0.181294  12.909807   0.000000
  -2.323739  12.000000   0.914871  13.859346   0.000000
  -2.323739  12.000000   0.339071  13.642010   0.000000
  -2.323739  12.000000  -0.242249  12.930916   0.000000
  -2.323739  12.000000  -0.208320  12.861065   0.000000
  -2.323739  12.000000  -1.045622  14.227488   0.000000
  -2.323739  12.000000   0.148947  12.341294   0.000000
  -2.323739  12.000000  -0.388020  13.529028   0.000000
  -2.323739  12.000000   1.278074  14.389388   0.000000
  -2.323739  12.000000  -0.408355  14.619763   0.000000
  -2.323739  12.000000  -0.346550  13.952379   0.000000
  -2.322876  12.000000   0.000000  13.645751   0.000000
  -2.283662  12.000000   0.007699  13.859599   0.000000
  -2.283662  12.000000   0.340425  14.861295   0.000000
  -2.283662  12.000000   0.016120  14.785243   0.000000
  -2.283662  12.000000  -0.424808  13.178084   0.000000
  -2.283662  12.000000   0.232480  13.204532   0.000000
  -2.283662  12.000000  -0.066673  13.617392   0.000000
  -2.283662  12.000000   0.757309  15.993237   0.000000
  -2.283662  12.000000  -0.119716  12.730870   0.000000
  -2.283662  12.000000  -0.086701  12.810829   0.000000
  -2.283662  12.000000   0.095706  13.296167   0.000000
  -2.283662  12.000000  -0.197327  12.951055   0.000000
  -2.283662  12.000000  -0.554512  11.519591   0.000000
  -2.244451  12.000000  -0.212302  12.557475   0.000000
  -2.244451  12.000000   0.106239  13.679598   0.000000
  -2.244451  12.000000  -0.070321  12.232690   0.000000
  -2.244451  12.000000   0.222627  12.903748   0.000000
  -2.244451  12.000000   0.271685  12.570938   0.000000
  -2.244451  12.000000   0.107643  12.838957   0.000000
  -2.244451  12.000000  -0.007265  13.000013   0.000000
  -2.244451  12.000000   0.150491  13.102362   0.000000
  -2.244451  12.000000   0.206878  12.846487   0.000000
  -2.244451  12.000000  -0.111340  13.013201   0.000000
  -2.244451  12.000000  -0.190125  16.997974   0.000000
  -2.244451  12.000000  -0.043492  11.609246   0.000000
  -2.244451  12.000000  -0.251857  12.924291   0.000000
  -2.244451  12.000000  -0.048531  13.587564   0.000000
  -2.244451  12.000000  -0.001814  12.792150   0.000000
  -2.244451  12.000000   0.255790  15.363200   0.000000
  -2.244451  12.000000  -0.177602  12.287971   0.000000
  -2.244451  12.000000  -0.006274  13.139457   0.000000
  -2.244451  12.000000   0.247897  14.166485   0.000000
  -2.244451  12.000000   0.643933  15.649757   0.000000
  -2.244451  12.000000  -0.533957  15.579798   0.000000
  -2.244451  12.000000  -0.452302  13.486731   0.000000
  -2.244451  12.000000  -0.040344  13.187141   0.000000
