  <H>         <N>        <Sz>       <S2>       <D> 
  -8.617423   6.000000  -0.000000   0.000000   0.000000
  -7.896796   6.000000  -0.000000   2.000000   0.000000
  -7.896796   6.000000  -1.000000   2.000000   0.000000
  -7.896796   6.000000   1.000000   2.000000   0.000000
  -6.461718   6.000000   2.000000   6.000000   0.000000
  -6.461718   6.000000  -0.001474   6.000000   0.000000
  -6.461718   6.000000  -0.998782   6.000000   0.000000
  -6.461718   6.000000  -1.999744   6.000000   0.000000
  -6.461718   6.000000   1.000000   6.000000   0.000000
  -6.121784   6.000000  -0.722534   2.000000   0.000000
  -6.121784   6.000000  -0.358462   2.000000   0.000000
  -6.121784   6.000000   0.201784   2.000000   0.000000
  -6.121784   6.000000   1.000000   2.000000   0.000000
  -6.121784   6.000000  -0.832283   2.000000   0.000000
  -6.121784   6.000000   0.711495   2.000000   0.000000
  -6.084885   6.000000  -0.914885   2.000000   0.000000
  -6.084885   6.000000   0.999923   2.000000   0.000000
  -6.084885   6.000000   0.862657   2.000000   0.000000
  -6.084885   6.000000  -0.111132   2.000000   0.000000
  -6.084885   6.000000   0.134707   2.000000   0.000000
  -6.084885   6.000000  -0.971271   2.000000   0.000000
  -5.449490   6.000000  -0.000000  -0.000000   0.000000
  -5.000000   6.000000  -0.994848   2.000000   0.000000
  -5.000000   6.000000  -0.004996   2.000000   0.000000
  -5.000000   6.000000   0.999844   2.000000   0.000000
  -4.797899   6.000000  -0.000000  -0.000000   0.000000
  -4.758388   6.000000   2.000000   6.000000   0.000000
  -4.758388   6.000000  -0.192164   6.000000   0.000000
  -4.758388   6.000000   0.962177   6.000000   0.000000
  -4.758388   6.000000  -1.511579   6.000000   0.000000
  -4.758388   6.000000  -0.264349   6.000000   0.000000
  -4.758388   6.000000  -0.642220   6.000000   0.000000
  -4.758388   6.000000  -0.194528   6.000000   0.000000
  -4.758388   6.000000  -0.496348   6.000000   0.000000
  -4.758388   6.000000  -1.657913   6.000000   0.000000
  -4.758388   6.000000   1.996923   6.000000   0.000000
  -4.705821   6.000000  -1.337043   6.000000   0.000000
  -4.705821   6.000000   1.999997   6.000000   0.000000
  -4.705821   6.000000  -0.257036   6.000000   0.000000
  -4.705821   6.000000  -1.277662   6.000000   0.000000
  -4.705821   6.000000   0.372942   6.000000   0.000000
  -4.705821   6.000000   0.511443   6.000000   0.000000
  -4.705821   6.000000  -0.870091   6.000000   0.000000
  -4.705821   6.000000   1.988385   6.000000   0.000000
  -4.705821   6.000000  -0.769658   6.000000   0.000000
  -4.705821   6.000000  -0.361279   6.000000   0.000000
  -4.626198   6.000000  -0.000000  -0.000000   0.000000
  -4.626198   6.000000  -0.000000  -0.000000   0.000000
  -4.298839   6.000000  -1.884201  12.000000   0.000000
  -4.298839   6.000000  -2.982646  12.000000   0.000000
  -4.298839   6.000000   1.063539  12.000000   0.000000
  -4.298839   6.000000   3.000000  12.000000   0.000000
  -4.298839   6.000000  -1.118665  12.000000   0.000000
  -4.298839   6.000000   0.219680  12.000000   0.000000
  -4.298839   6.000000   1.702293  12.000000   0.000000
  -4.094114   6.000000  -0.392582   2.000000   0.000000
  -4.094114   6.000000  -0.122530   2.000000   0.000000
  -4.094114   6.000000  -0.376273   2.000000   0.000000
  -4.094114   6.000000   0.999837   2.000000   0.000000
  -4.094114   6.000000   0.378450   2.000000   0.000000
  -4.094114   6.000000  -0.486902   2.000000   0.000000
  -3.963372   6.000000  -0.077957   2.000000   0.000000
  -3.963372   6.000000  -0.208487   2.000000   0.000000
  -3.963372   6.000000   0.999889   2.000000   0.000000
  -3.963372   6.000000  -0.306424   2.000000   0.000000
  -3.963372   6.000000  -0.268576   2.000000   0.000000
  -3.963372   6.000000  -0.138444   2.000000   0.000000
  -3.781728   6.000000  -0.975211   6.000000   0.000000
