LanczosStep  E[1] E[2] E[3] E[4] Target:E[3] E_Max/Nsite
stp = 2 -2.9138343602 2.7352834600 xxxxxxxxxx xxxxxxxxx 0.0000000000 xxxxxxxxx 
stp=4 -5.5252678447 -2.1173912609 1.7642744426 5.0617316082 1.7642744426 0.8436219347
stp=6 -7.0609688765 -4.6634592350 -1.9446529517 0.9248997211 -1.9446529517 0.9579500088
stp=8 -8.1060114153 -6.0860543822 -4.0707752754 -1.8071540252 -4.0707752754 0.9917929781
stp=10 -8.3536194644 -6.7702942368 -5.5203189735 -3.8773509715 -5.5203189735 0.9989161422
stp=12 -8.5886898945 -7.8270029189 -6.2370243816 -4.6511572110 -6.2370243816 0.9999320817
stp=14 -8.6156635454 -7.8896557869 -6.3144340733 -5.3692515435 -6.3144340733 0.9999962468
stp=16 -8.6173954439 -7.8965978183 -6.4356582239 -6.0579562882 -6.4356582239 0.9999998789
stp=18 -8.6174228757 -7.8967921753 -6.4595207376 -6.1001376413 -6.4595207376 0.9999999975
stp=20 -8.6174231763 -7.8967957032 -6.4612741826 -6.1041964434 -6.4612741826 0.9999999999
stp=22 -8.6174231816 -7.8967958123 -6.4615453875 -6.1053845904 -6.4615453875 1.0000000000
stp=24 -8.6174231818 -7.8967958190 -6.4616797325 -6.1079514335 -6.4616797325 1.0000000000
stp=26 -8.6174231818 -7.8967958192 -6.4617114937 -6.1135974883 -6.4617114937 1.0000000000
stp=28 -8.6174231818 -7.8967958192 -6.4617176063 -6.1202284629 -6.4617176063 1.0000000000
stp=30 -8.6174231818 -7.8967958192 -6.4617181308 -6.1217079038 -6.4617181308 1.0000000000
stp=32 -8.6174231818 -7.8967958192 -6.4617181470 -6.1217791060 -6.4617181470 1.0000000000
stp=34 -8.6174231818 -7.8967958192 -6.4617181477 -6.1217833192 -6.4617181477 1.0000000000
stp=36 -8.6174231818 -7.8967958192 -6.4617181477 -6.1217835303 -6.4617181477 1.0000000000
stp=38 -8.6174231818 -7.8967958192 -6.4617181477 -6.1217835367 -6.4617181477 1.0000000000
stp=40 -8.6174231818 -7.8967958192 -6.4617181477 -6.1217835369 -6.4617181477 1.0000000000
