  <H>         <N>        <Sz>       <S2>       <D> 
  -8.617423   0.000000   0.000000  -0.000000   0.000000
  -7.896796   0.000000   0.000000   2.000000   0.000000
  -7.896796   0.000000   0.000000   2.000000   0.000000
  -7.896796   0.000000   0.000000   2.000000   0.000000
  -6.461718   0.000000   0.000000   6.000000   0.000000
  -6.461718   0.000000   0.000000   6.000000   0.000000
  -6.461718   0.000000   0.000000   6.000000   0.000000
  -6.461718   0.000000   0.000000   6.000000   0.000000
  -6.461718   0.000000   0.000000   6.000000   0.000000
  -6.121784   0.000000   0.000000   2.000000   0.000000
  -6.121784   0.000000   0.000000   2.000000   0.000000
  -6.121784   0.000000   0.000000   2.000000   0.000000
  -6.121784   0.000000   0.000000   2.000000   0.000000
  -6.121784   0.000000   0.000000   2.000000   0.000000
  -6.121784   0.000000   0.000000   2.000000   0.000000
  -6.084885   0.000000   0.000000   2.000000   0.000000
  -6.084885   0.000000   0.000000   2.000000   0.000000
  -6.084885   0.000000   0.000000   2.000000   0.000000
  -6.084885   0.000000   0.000000   2.000000   0.000000
  -6.084885   0.000000   0.000000   2.000000   0.000000
  -6.084885   0.000000   0.000000   2.000000   0.000000
  -5.449490   0.000000   0.000000  -0.000000   0.000000
  -5.000000   0.000000   0.000000   2.000000   0.000000
  -5.000000   0.000000   0.000000   2.000000   0.000000
  -5.000000   0.000000   0.000000   2.000000   0.000000
  -4.797899   0.000000   0.000000  -0.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.758388   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.705821   0.000000   0.000000   6.000000   0.000000
  -4.626198   0.000000   0.000000  -0.000000   0.000000
  -4.626198   0.000000   0.000000  -0.000000   0.000000
  -4.298839   0.000000   0.000000  12.000000   0.000000
  -4.298839   0.000000   0.000000  12.000000   0.000000
  -4.298839   0.000000   0.000000  12.000000   0.000000
  -4.298839   0.000000   0.000000  12.000000   0.000000
  -4.298839   0.000000   0.000000  12.000000   0.000000
  -4.298839   0.000000   0.000000  12.000000   0.000000
  -4.298839   0.000000   0.000000  12.000000   0.000000
  -4.094114   0.000000   0.000000   2.000000   0.000000
  -4.094114   0.000000   0.000000   2.000000   0.000000
  -4.094114   0.000000   0.000000   2.000000   0.000000
  -4.094114   0.000000   0.000000   2.000000   0.000000
  -4.094114   0.000000   0.000000   2.000000   0.000000
  -4.094114   0.000000   0.000000   2.000000   0.000000
  -3.963372   0.000000   0.000000   2.000000   0.000000
  -3.963372   0.000000   0.000000   2.000000   0.000000
  -3.963372   0.000000   0.000000   2.000000   0.000000
  -3.963372   0.000000   0.000000   2.000000   0.000000
  -3.963372   0.000000   0.000000   2.000000   0.000000
  -3.963372   0.000000   0.000000   2.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.781728   0.000000   0.000000   6.000000   0.000000
  -3.737106   0.000000   0.000000   2.000000   0.000000
  -3.737106   0.000000   0.000000   2.000000   0.000000
  -3.737106   0.000000   0.000000   2.000000   0.000000
  -3.448678   0.000000   0.000000   6.000000   0.000000
  -3.448678   0.000000   0.000000   6.000000   0.000000
  -3.448678   0.000000   0.000000   6.000000   0.000000
  -3.448678   0.000000   0.000000   6.000000   0.000000
  -3.448678   0.000000   0.000000   6.000000   0.000000
  -3.414214   0.000000   0.000000   6.000000   0.000000
  -3.414214   0.000000   0.000000   6.000000   0.000000
  -3.414214   0.000000   0.000000   6.000000   0.000000
  -3.414214   0.000000   0.000000   6.000000   0.000000
  -3.414214   0.000000   0.000000   6.000000   0.000000
  -3.360721   0.000000   0.000000   2.000000   0.000000
  -3.360721   0.000000   0.000000   2.000000   0.000000
  -3.360721   0.000000   0.000000   2.000000   0.000000
  -3.360721   0.000000   0.000000   2.000000   0.000000
  -3.360721   0.000000   0.000000   2.000000   0.000000
  -3.360721   0.000000   0.000000   2.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.351558   0.000000   0.000000   6.000000   0.000000
  -3.330234   0.000000   0.000000  -0.000000   0.000000
  -3.000000   0.000000   0.000000   3.084498   0.000000
  -3.000000   0.000000   0.000000   5.999996   0.000000
  -3.000000   0.000000   0.000000   5.621232   0.000000
  -3.000000   0.000000   0.000000   2.852162   0.000000
  -3.000000   0.000000   0.000000   5.833557   0.000000
  -3.000000   0.000000   0.000000   3.667735   0.000000
  -3.000000   0.000000   0.000000   2.940819   0.000000
  -2.828427   0.000000   0.000000   2.000000   0.000000
  -2.828427   0.000000   0.000000   2.000000   0.000000
  -2.828427   0.000000   0.000000   2.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.815649   0.000000   0.000000  12.000000   0.000000
  -2.776392   0.000000   0.000000   6.000000   0.000000
  -2.776392   0.000000   0.000000   6.000000   0.000000
  -2.776392   0.000000   0.000000   6.000000   0.000000
  -2.776392   0.000000   0.000000   6.000000   0.000000
  -2.776392   0.000000   0.000000   6.000000   0.000000
  -2.732051   0.000000   0.000000   2.000000   0.000000
  -2.732051   0.000000   0.000000   2.000000   0.000000
  -2.732051   0.000000   0.000000   2.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.592768   0.000000   0.000000   6.000000   0.000000
  -2.328165   0.000000   0.000000   2.000000   0.000000
  -2.328165   0.000000   0.000000   2.000000   0.000000
  -2.328165   0.000000   0.000000   2.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.177410   0.000000   0.000000  12.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.101820   0.000000   0.000000   6.000000   0.000000
  -2.000000   0.000000   0.000000   4.214048   0.000000
  -2.000000   0.000000   0.000000   5.017277   0.000000
  -2.000000   0.000000   0.000000   8.428936   0.000000
  -2.000000   0.000000   0.000000   5.219386   0.000000
  -2.000000   0.000000   0.000000   9.484887   0.000000
  -2.000000   0.000000   0.000000   4.877689   0.000000
  -2.000000   0.000000   0.000000   8.166286   0.000000
  -2.000000   0.000000   0.000000   8.250669   0.000000
  -2.000000   0.000000   0.000000   3.794022   0.000000
  -2.000000   0.000000   0.000000  11.297442   0.000000
  -2.000000   0.000000   0.000000   8.427535   0.000000
  -2.000000   0.000000   0.000000  11.989824   0.000000
  -2.000000   0.000000   0.000000   6.831999   0.000000
  -1.870343   0.000000   0.000000   2.000000   0.000000
  -1.870343   0.000000   0.000000   2.000000   0.000000
  -1.870343   0.000000   0.000000   2.000000   0.000000
