  <H>         <N>        <Sz>       <S2>       <D> 
  -2.908525   8.000000   0.000000   0.000000   0.079316
  -2.000000   8.000000   0.000000   0.750000   0.000000
  -2.000000   8.000000   0.000000   0.750000   0.000000
  -1.561553   8.000000   0.000000   2.000000   0.000000
  -1.561553   8.000000   0.000000   2.000000   0.000000
  -1.561553   8.000000   0.000000   2.000000   0.000000
  -1.561553   8.000000   0.000000   2.000000   0.000000
  -1.561553   8.000000   0.000000   2.000000   0.000000
  -1.561553   8.000000   0.000000   2.000000   0.000000
  -1.002469   8.000000   0.000000   0.750000   0.240536
  -1.002469   8.000000   0.000000   0.750000   0.240536
  -1.002469   8.000000   0.000000   0.750000   0.240536
  -1.002469   8.000000   0.000000   0.750000   0.240536
   0.000000   8.000000   0.000000   3.749478   0.000028
   0.000000   8.000000   0.000000   0.432435   0.073483
   0.000000   8.000000   0.000000   0.319933   0.093763
  -0.000000   8.000000   0.000000   1.043124   0.000011
  -0.000000   8.000000   0.000000   3.055505   0.000086
   0.000000   8.000000   0.000000   0.000000   0.000000
   0.000000   8.000000   0.000000   1.114815   0.000051
   0.000000   8.000000   0.000000   0.751358   0.000110
   0.000000   8.000000   0.000000   0.983820   0.012215
   0.000000   8.000000   0.000000   1.133254   0.137219
   0.000000   8.000000   0.000000   3.222463   0.000040
   0.000000   8.000000   0.000000   2.193813   0.082995
   0.396125   8.000000   0.000000   0.750000   0.118228
   0.396125   8.000000   0.000000   0.750000   0.118228
   0.535898   8.000000   0.000000   0.750000   0.066987
   0.535898   8.000000   0.000000   0.750000   0.066987
   1.000000   8.000000   0.000000   1.758046   0.000000
   1.000000   8.000000   0.000000   1.879700   0.000000
   1.000000   8.000000   0.000000   1.999849   0.000000
   1.000000   8.000000   0.000000   1.967325   0.000000
   1.000000   8.000000   0.000000   1.631444   0.000000
   1.000000   8.000000   0.000000   1.788553   0.000000
   1.000000   8.000000   0.000000   0.975083   0.000000
   1.506041   8.000000   0.000000   0.750000   0.432928
   1.506041   8.000000   0.000000   0.750000   0.432928
   1.604924   8.000000   0.000000   0.000000   0.343260
   1.801578   8.000000   0.000000  -0.000000   0.323289
   1.893053   8.000000   0.000000   2.000000   0.402605
   1.893053   8.000000   0.000000   2.000000   0.402605
   1.893053   8.000000   0.000000   2.000000   0.402605
   2.000000   8.000000   0.000000   3.306974   0.036083
   2.000000   8.000000   0.000000   3.516176   0.011206
   2.000000   8.000000   0.000000   3.647850   0.000278
   2.000000   8.000000   0.000000   2.453520   0.105382
   2.000000   8.000000   0.000000   1.987917   0.007087
   2.000000   8.000000   0.000000   2.990296   0.049364
   2.000000   8.000000   0.000000   1.724388   0.019175
   2.000000   8.000000   0.000000   3.254642   0.001014
   2.000000   8.000000   0.000000   3.743811   0.000027
   2.000000   8.000000   0.000000   3.540259   0.017322
   2.000000   8.000000   0.000000   1.950684   0.014198
   2.000000   8.000000   0.000000   0.883485   0.238864
   2.486231   8.000000   0.000000   0.000000   0.528894
   2.540642   8.000000   0.000000   0.750000   0.212889
   2.540642   8.000000   0.000000   0.750000   0.212889
   2.540642   8.000000   0.000000   0.750000   0.212889
   2.540642   8.000000   0.000000   0.750000   0.212889
   2.561553   8.000000   0.000000   2.000000   0.000000
   2.561553   8.000000   0.000000   2.000000   0.000000
   2.561553   8.000000   0.000000   2.000000   0.000000
   2.561553   8.000000   0.000000   2.000000   0.000000
   2.561553   8.000000   0.000000   2.000000   0.000000
   2.561553   8.000000   0.000000   2.000000   0.000000
   3.000000   8.000000   0.000000   2.000000   0.200000
   3.000000   8.000000   0.000000   2.000000   0.200000
   3.000000   8.000000   0.000000   2.000000   0.200000
   3.000000   8.000000   0.000000   2.000000   0.200000
   3.000000   8.000000   0.000000   2.000000   0.200000
   3.000000   8.000000   0.000000   2.000000   0.200000
   3.109916   8.000000   0.000000   0.750000   0.965409
   3.109916   8.000000   0.000000   0.750000   0.965409
   3.468871   8.000000   0.000000  -0.000000   1.218991
   4.000000   8.000000   0.000000   5.999451   0.000049
   4.000000   8.000000   0.000000   3.819882   0.091298
   4.000000   8.000000   0.000000   3.847210   0.137985
   4.000000   8.000000   0.000000   3.959791   0.001262
   4.000000   8.000000   0.000000   4.263725   0.104290
   4.000000   8.000000   0.000000   5.670778   0.022865
   4.000000   8.000000   0.000000   5.347397   0.020156
   4.000000   8.000000   0.000000   2.802995   0.392945
   4.000000   8.000000   0.000000   4.461923   0.225638
   4.000000   8.000000   0.000000   4.826849   0.003512
   4.663239   8.000000   0.000000   0.750000   0.744408
   4.663239   8.000000   0.000000   0.750000   0.744408
   4.663239   8.000000   0.000000   0.750000   0.744408
   4.663239   8.000000   0.000000   0.750000   0.744408
