  <H>         <N>        <Sz>       <S2>       <D> 
  -2.102748   4.000000   0.000000  -0.000000   0.287325
  -1.806424   4.000000   0.000000   2.000000   0.335409
  -1.806424   4.000000   0.000000   2.000000   0.335409
  -1.806424   4.000000   0.000000   2.000000   0.335409
  -1.068140   4.000000   0.000000   0.000000   0.277708
  -0.828427   4.000000   0.000000   2.000000   0.146447
  -0.828427   4.000000   0.000000   2.000000   0.146447
  -0.828427   4.000000   0.000000   2.000000   0.146447
  -0.828427   4.000000   0.000000   2.000000   0.146447
  -0.828427   4.000000   0.000000   2.000000   0.146447
  -0.828427   4.000000   0.000000   2.000000   0.146447
   0.000000   4.000000   0.000000   6.000000   0.000000
   0.000000   4.000000   0.000000   6.000000   0.000000
   0.000000   4.000000   0.000000   6.000000   0.000000
   0.000000   4.000000   0.000000   6.000000   0.000000
   0.000000   4.000000   0.000000   6.000000   0.000000
   0.581449   4.000000   0.000000   0.000000   1.079437
   2.000000   4.000000   0.000000   1.673397   1.000000
   2.000000   4.000000   0.000000   1.581700   1.000000
   2.000000   4.000000   0.000000   1.753214   1.000000
   2.000000   4.000000   0.000000   1.999469   1.000000
   2.000000   4.000000   0.000000   1.051159   1.000000
   2.000000   4.000000   0.000000   1.586469   1.000000
   2.000000   4.000000   0.000000   0.519315   1.000000
   2.000000   4.000000   0.000000   1.835277   1.000000
   2.387873   4.000000   0.000000   2.000000   0.744028
   2.387873   4.000000   0.000000   2.000000   0.744028
   2.387873   4.000000   0.000000   2.000000   0.744028
   2.965392   4.000000   0.000000  -0.000000   1.009617
   3.171573   4.000000   0.000000  -0.000000   1.146447
   3.171573   4.000000   0.000000  -0.000000   1.146447
   4.000000   4.000000   0.000000   0.967401   1.000000
   4.000000   4.000000   0.000000   1.950084   1.000000
   4.000000   4.000000   0.000000   1.826888   1.000000
   4.000000   4.000000   0.000000   1.826786   1.000000
   4.000000   4.000000   0.000000   1.508904   1.000000
   4.000000   4.000000   0.000000   1.958308   1.000000
   4.000000   4.000000   0.000000   1.449848   1.000000
   4.000000   4.000000   0.000000   1.933313   1.000000
   4.000000   4.000000   0.000000   1.984849   1.000000
   4.000000   4.000000   0.000000   1.828233   1.000000
   4.000000   4.000000   0.000000   1.683685   1.000000
   4.000000   4.000000   0.000000   1.890456   1.000000
   4.000000   4.000000   0.000000   1.457260   1.000000
   4.000000   4.000000   0.000000   1.733986   1.000000
   4.828427   4.000000   0.000000   2.000000   0.853553
   4.828427   4.000000   0.000000   2.000000   0.853553
   4.828427   4.000000   0.000000   2.000000   0.853553
   4.828427   4.000000   0.000000   2.000000   0.853553
   4.828427   4.000000   0.000000   2.000000   0.853553
   4.828427   4.000000   0.000000   2.000000   0.853553
   5.034608   4.000000   0.000000  -0.000000   0.990383
   5.612127   4.000000   0.000000   0.000000   1.255972
   6.000000   4.000000   0.000000   1.700835   1.000000
   6.000000   4.000000   0.000000   1.062798   1.000000
   6.000000   4.000000   0.000000   1.046739   1.000000
   6.000000   4.000000   0.000000   1.943750   1.000000
   6.000000   4.000000   0.000000   1.599304   1.000000
   6.000000   4.000000   0.000000   1.538267   1.000000
   6.000000   4.000000   0.000000   1.562824   1.000000
   6.000000   4.000000   0.000000   1.545483   1.000000
   7.418551   4.000000   0.000000   2.000000   0.920563
   7.418551   4.000000   0.000000   2.000000   0.920563
   7.418551   4.000000   0.000000   2.000000   0.920563
   8.000000   4.000000   0.000000   0.000000   2.000000
   8.828427   4.000000   0.000000  -0.000000   1.853553
   8.828427   4.000000   0.000000   0.000000   1.853553
   9.068140   4.000000   0.000000   0.000000   1.722292
   9.806424   4.000000   0.000000  -0.000000   1.664591
  10.102748   4.000000   0.000000   0.000000   1.712675
