LanczosStep  E[1] E[2] E[3] E[4] Target:E[3] E_Max/Nsite
stp = 2 2.1000863493 14.0843073868 xxxxxxxxxx xxxxxxxxx 0.0000000000 xxxxxxxxx 
stp=4 -3.9508973869 4.0535697865 12.4968276008 20.7480151232 12.4968276008 2.5935018904
stp=6 -6.9218707284 -1.2409908158 5.0388816701 11.5938244773 5.0388816701 3.0051820578
stp=8 -8.5810947665 -4.5845030412 0.2398209615 5.4777760664 0.2398209615 3.1561985879
stp=10 -9.5699311778 -6.5086177762 -2.7547291330 1.3532726519 -2.7547291330 3.2086328605
stp=12 -9.9874542643 -7.4909252644 -4.6417140330 -1.2950236579 -4.6417140330 3.2339912781
stp=14 -10.1432144225 -8.1629209716 -6.0624134239 -3.3072362389 -6.0624134239 3.2478280412
stp=16 -10.2046372587 -8.6534847909 -6.9123767037 -4.6274858802 -6.9123767037 3.2566424839
stp=18 -10.2296873081 -8.9836231496 -7.4821175789 -5.7247344610 -7.4821175789 3.2653928649
stp=20 -10.2407063840 -9.2183975889 -7.9609057169 -6.5403205503 -7.9609057169 3.2745274389
stp=22 -10.2464595477 -9.4168622517 -8.3951537274 -7.1348531231 -8.3951537274 3.2786295360
stp=24 -10.2495819925 -9.5725138860 -8.6943671818 -7.5295383844 -8.6943671818 3.2804133048
stp=26 -10.2514379865 -9.6936484336 -8.9134561839 -7.9004409380 -8.9134561839 3.2812939020
stp=28 -10.2524133073 -9.7733255130 -9.0694728802 -8.2138827944 -9.0694728802 3.2815469469
stp=30 -10.2528233434 -9.8152708439 -9.1694523232 -8.4256688467 -9.1694523232 3.2816031899
stp=32 -10.2529336375 -9.8296054506 -9.2148838001 -8.5343549364 -9.2148838001 3.2816164989
stp=34 -10.2529504076 -9.8323501845 -9.2270201702 -8.5725146051 -9.2270201702 3.2816186967
stp=36 -10.2529524613 -9.8327643503 -9.2295830872 -8.5843008519 -9.2295830872 3.2816190420
stp=38 -10.2529528596 -9.8328657018 -9.2305174676 -8.5917368168 -9.2305174676 3.2816191094
stp=40 -10.2529529424 -9.8328930790 -9.2309248110 -8.5988501922 -9.2309248110 3.2816191184
stp=42 -10.2529529538 -9.8328978950 -9.2310367133 -8.6032361029 -9.2310367133 3.2816191193
stp=44 -10.2529529551 -9.8328985594 -9.2310589073 -8.6048572630 -9.2310589073 3.2816191194
stp=46 -10.2529529552 -9.8328986546 -9.2310633178 -8.6053820634 -9.2310633178 3.2816191194
stp=48 -10.2529529553 -9.8328986699 -9.2310643054 -8.6055704616 -9.2310643054 3.2816191194
stp=50 -10.2529529553 -9.8328986737 -9.2310646809 -8.6057022457 -9.2310646809 3.2816191194
stp=52 -10.2529529553 -9.8328986749 -9.2310648817 -8.6058863889 -9.2310648817 3.2816191194
stp=54 -10.2529529553 -9.8328986753 -9.2310649673 -8.6061963602 -9.2310649673 3.2816191194
stp=56 -10.2529529553 -9.8328986753 -9.2310649950 -8.6066794812 -9.2310649950 3.2816191194
stp=58 -10.2529529553 -9.8328986753 -9.2310650010 -8.6070681813 -9.2310650010 3.2816191194
stp=60 -10.2529529553 -9.8328986753 -9.2310650022 -8.6072359504 -9.2310650022 3.2816191194
stp=62 -10.2529529553 -9.8328986753 -9.2310650024 -8.6072902118 -9.2310650024 3.2816191194
stp=64 -10.2529529553 -9.8328986753 -9.2310650024 -8.6073037057 -9.2310650024 3.2816191194
stp=66 -10.2529529553 -9.8328986753 -9.2310650024 -8.6073063232 -9.2310650024 3.2816191194
stp=68 -10.2529529553 -9.8328986753 -9.2310650024 -8.6073069852 -9.2310650024 3.2816191194
stp=70 -10.2529529553 -9.8328986753 -9.2310650024 -8.6073071458 -9.2310650024 3.2816191194
stp=72 -10.2529529553 -9.8328986753 -9.2310650024 -8.6073071809 -9.2310650024 3.2816191194
