 # inv_temp, global_norm, global_1st_norm, step_i 
0.020694 12.011872 40.642825 1
0.041081 12.103405 40.642825 2
0.061178 12.193193 40.642825 3
0.081003 12.280867 40.642825 4
0.100575 12.366144 40.642825 5
0.119913 12.448813 40.642825 6
0.139033 12.528734 40.642825 7
0.157955 12.605826 40.642825 8
0.176693 12.680053 40.642825 9
0.195264 12.751421 40.642825 10
0.213681 12.819963 40.642825 11
0.231958 12.885734 40.642825 12
0.250106 12.948807 40.642825 13
0.268137 13.009263 40.642825 14
0.286061 13.067189 40.642825 15
0.303886 13.122676 40.642825 16
0.321622 13.175816 40.642825 17
0.339277 13.226698 40.642825 18
0.356857 13.275408 40.642825 19
0.374371 13.322032 40.642825 20
0.391823 13.366647 40.642825 21
0.409221 13.409331 40.642825 22
0.426569 13.450155 40.642825 23
0.443873 13.489186 40.642825 24
0.461138 13.526490 40.642825 25
0.478369 13.562127 40.642825 26
0.495569 13.596155 40.642825 27
0.512743 13.628632 40.642825 28
0.529896 13.659612 40.642825 29
0.547029 13.689147 40.642825 30
0.564147 13.717290 40.642825 31
0.581252 13.744091 40.642825 32
0.598348 13.769601 40.642825 33
0.615437 13.793870 40.642825 34
0.632521 13.816945 40.642825 35
0.649602 13.838876 40.642825 36
0.666682 13.859710 40.642825 37
0.683763 13.879495 40.642825 38
0.700846 13.898277 40.642825 39
0.717932 13.916103 40.642825 40
0.735022 13.933016 40.642825 41
0.752118 13.949061 40.642825 42
0.769220 13.964280 40.642825 43
0.786328 13.978714 40.642825 44
0.803444 13.992405 40.642825 45
0.820567 14.005389 40.642825 46
0.837697 14.017705 40.642825 47
0.854836 14.029389 40.642825 48
0.871984 14.040473 40.642825 49
0.889139 14.050992 40.642825 50
0.906303 14.060975 40.642825 51
0.923475 14.070453 40.642825 52
0.940656 14.079453 40.642825 53
0.957844 14.088003 40.642825 54
0.975041 14.096126 40.642825 55
0.992246 14.103847 40.642825 56
1.009459 14.111188 40.642825 57
1.026680 14.118171 40.642825 58
1.043908 14.124815 40.642825 59
1.061144 14.131138 40.642825 60
1.078387 14.137159 40.642825 61
1.095637 14.142893 40.642825 62
1.112894 14.148357 40.642825 63
1.130157 14.153565 40.642825 64
1.147428 14.158531 40.642825 65
1.164705 14.163267 40.642825 66
1.181988 14.167786 40.642825 67
1.199277 14.172099 40.642825 68
1.216572 14.176217 40.642825 69
1.233872 14.180150 40.642825 70
1.251179 14.183907 40.642825 71
1.268491 14.187498 40.642825 72
1.285808 14.190930 40.642825 73
1.303130 14.194212 40.642825 74
1.320458 14.197351 40.642825 75
1.337790 14.200354 40.642825 76
1.355127 14.203228 40.642825 77
1.372469 14.205978 40.642825 78
1.389816 14.208612 40.642825 79
1.407166 14.211135 40.642825 80
1.424522 14.213551 40.642825 81
1.441881 14.215866 40.642825 82
1.459244 14.218085 40.642825 83
1.476611 14.220211 40.642825 84
1.493983 14.222251 40.642825 85
1.511357 14.224206 40.642825 86
1.528736 14.226082 40.642825 87
1.546118 14.227882 40.642825 88
1.563504 14.229609 40.642825 89
1.580892 14.231266 40.642825 90
1.598285 14.232858 40.642825 91
1.615680 14.234386 40.642825 92
1.633078 14.235853 40.642825 93
1.650480 14.237263 40.642825 94
1.667884 14.238617 40.642825 95
1.685291 14.239918 40.642825 96
1.702701 14.241169 40.642825 97
1.720114 14.242372 40.642825 98
1.737529 14.243528 40.642825 99
1.754947 14.244640 40.642825 100
1.772367 14.245709 40.642825 101
1.789789 14.246739 40.642825 102
1.807214 14.247729 40.642825 103
1.824642 14.248682 40.642825 104
1.842071 14.249599 40.642825 105
1.859502 14.250483 40.642825 106
1.876936 14.251334 40.642825 107
1.894371 14.252153 40.642825 108
1.911809 14.252942 40.642825 109
1.929248 14.253703 40.642825 110
1.946690 14.254436 40.642825 111
1.964133 14.255143 40.642825 112
1.981577 14.255825 40.642825 113
1.999024 14.256482 40.642825 114
2.016472 14.257116 40.642825 115
2.033921 14.257727 40.642825 116
2.051372 14.258318 40.642825 117
2.068825 14.258887 40.642825 118
2.086279 14.259437 40.642825 119
2.103734 14.259968 40.642825 120
2.121191 14.260481 40.642825 121
2.138649 14.260976 40.642825 122
2.156109 14.261455 40.642825 123
2.173569 14.261917 40.642825 124
2.191031 14.262364 40.642825 125
2.208494 14.262796 40.642825 126
2.225958 14.263214 40.642825 127
2.243424 14.263618 40.642825 128
2.260890 14.264009 40.642825 129
2.278357 14.264387 40.642825 130
2.295826 14.264753 40.642825 131
2.313295 14.265108 40.642825 132
2.330765 14.265451 40.642825 133
2.348236 14.265783 40.642825 134
2.365708 14.266105 40.642825 135
2.383181 14.266417 40.642825 136
2.400655 14.266719 40.642825 137
2.418130 14.267012 40.642825 138
2.435605 14.267296 40.642825 139
2.453081 14.267571 40.642825 140
2.470558 14.267838 40.642825 141
2.488035 14.268097 40.642825 142
2.505513 14.268348 40.642825 143
2.522992 14.268592 40.642825 144
2.540472 14.268829 40.642825 145
2.557952 14.269059 40.642825 146
2.575433 14.269282 40.642825 147
2.592914 14.269499 40.642825 148
2.610396 14.269710 40.642825 149
2.627879 14.269915 40.642825 150
2.645362 14.270114 40.642825 151
2.662845 14.270307 40.642825 152
2.680330 14.270495 40.642825 153
2.697814 14.270678 40.642825 154
2.715299 14.270857 40.642825 155
2.732785 14.271030 40.642825 156
2.750271 14.271198 40.642825 157
2.767757 14.271363 40.642825 158
2.785244 14.271522 40.642825 159
2.802731 14.271678 40.642825 160
2.820219 14.271830 40.642825 161
2.837707 14.271978 40.642825 162
2.855196 14.272122 40.642825 163
2.872684 14.272262 40.642825 164
2.890174 14.272399 40.642825 165
2.907663 14.272532 40.642825 166
2.925153 14.272662 40.642825 167
2.942643 14.272789 40.642825 168
2.960134 14.272913 40.642825 169
2.977624 14.273034 40.642825 170
2.995115 14.273152 40.642825 171
3.012607 14.273268 40.642825 172
3.030099 14.273380 40.642825 173
3.047590 14.273490 40.642825 174
3.065083 14.273598 40.642825 175
3.082575 14.273703 40.642825 176
3.100068 14.273806 40.642825 177
3.117561 14.273906 40.642825 178
3.135054 14.274004 40.642825 179
3.152547 14.274100 40.642825 180
3.170041 14.274194 40.642825 181
3.187535 14.274286 40.642825 182
3.205029 14.274376 40.642825 183
3.222523 14.274464 40.642825 184
3.240018 14.274550 40.642825 185
3.257512 14.274634 40.642825 186
3.275007 14.274717 40.642825 187
3.292502 14.274798 40.642825 188
3.309997 14.274877 40.642825 189
3.327493 14.274955 40.642825 190
3.344988 14.275031 40.642825 191
3.362484 14.275106 40.642825 192
3.379980 14.275179 40.642825 193
3.397476 14.275251 40.642825 194
3.414972 14.275322 40.642825 195
3.432468 14.275391 40.642825 196
3.449965 14.275459 40.642825 197
3.467461 14.275525 40.642825 198
3.484958 14.275591 40.642825 199
3.502455 14.275655 40.642825 200
3.519952 14.275718 40.642825 201
3.537449 14.275780 40.642825 202
3.554946 14.275841 40.642825 203
3.572443 14.275901 40.642825 204
3.589940 14.275959 40.642825 205
3.607438 14.276017 40.642825 206
3.624936 14.276074 40.642825 207
3.642433 14.276130 40.642825 208
3.659931 14.276185 40.642825 209
3.677429 14.276239 40.642825 210
3.694927 14.276292 40.642825 211
3.712425 14.276344 40.642825 212
3.729923 14.276395 40.642825 213
3.747421 14.276446 40.642825 214
3.764920 14.276496 40.642825 215
3.782418 14.276545 40.642825 216
3.799917 14.276593 40.642825 217
3.817415 14.276641 40.642825 218
3.834914 14.276687 40.642825 219
3.852413 14.276734 40.642825 220
3.869911 14.276779 40.642825 221
3.887410 14.276824 40.642825 222
3.904909 14.276868 40.642825 223
3.922408 14.276911 40.642825 224
3.939907 14.276954 40.642825 225
3.957406 14.276997 40.642825 226
3.974905 14.277038 40.642825 227
3.992405 14.277079 40.642825 228
4.009904 14.277120 40.642825 229
4.027403 14.277160 40.642825 230
4.044903 14.277199 40.642825 231
4.062402 14.277238 40.642825 232
4.079902 14.277277 40.642825 233
4.097401 14.277315 40.642825 234
4.114901 14.277352 40.642825 235
4.132400 14.277389 40.642825 236
4.149900 14.277425 40.642825 237
4.167400 14.277461 40.642825 238
4.184899 14.277497 40.642825 239
4.202399 14.277532 40.642825 240
