LanczosStep  E[1] E[2] E[3] E[4] E_Max/Nsite
stp = 2 1.2149586211 14.6560471044 xxxxxxxxxx xxxxxxxxx xxxxxxxxx 
stp=4 -5.6626980051 3.1523174817 12.4860778911 21.2322666770 2.6540333346
stp=6 -8.5113374325 -2.3219709559 4.3459108959 11.5079386600 3.0307814358
stp=8 -9.5061025854 -5.2757708534 -0.1734100333 5.2236216333 3.2049774861
stp=10 -9.7541889139 -6.6054773893 -2.9493235242 1.2364826532 3.2686702753
stp=12 -9.8493291990 -7.7933352523 -5.2131376290 -1.6057123295 3.3071529579
stp=14 -10.0034157665 -9.1989874877 -6.5471221820 -3.8246571876 3.3306860521
stp=16 -10.2795491183 -9.6184119315 -7.1371882909 -5.0542902354 3.3480099949
stp=18 -10.3934621238 -9.6867677873 -7.6212224119 -6.0879803874 3.3585951650
stp=20 -10.4314244938 -9.7126376267 -8.2299211848 -6.8029927667 3.3649543994
stp=22 -10.4444124344 -9.7268947738 -8.7192266491 -7.1929486527 3.3688138529
stp=24 -10.4493618429 -9.7375880614 -9.0675054759 -7.6022086981 3.3714063988
stp=26 -10.4523286263 -9.7568484473 -9.4278426949 -8.2012724052 3.3727271177
stp=28 -10.4538822152 -9.8036215915 -9.6230480905 -8.5134692078 3.3730382067
stp=30 -10.4542561875 -9.8334650466 -9.6582642964 -8.6128118268 3.3730940812
stp=32 -10.4543307556 -9.8429575984 -9.6661626439 -8.6625968461 3.3731071645
stp=34 -10.4543645045 -9.8506288671 -9.6727330444 -8.8677221171 3.3731094201
stp=36 -10.4543874887 -9.8653225517 -9.6900405439 -9.4405700632 3.3731099370
stp=38 -10.4543968532 -9.8854476363 -9.7268033493 -9.5948471428 3.3731102525
stp=40 -10.4543984779 -9.8928707401 -9.7407958096 -9.6127130187 3.3731103893
stp=42 -10.4543986983 -9.8943318293 -9.7435287162 -9.6155850104 3.3731104548
stp=44 -10.4543987469 -9.8947857667 -9.7444452029 -9.6165817733 3.3731104927
stp=46 -10.4543987705 -9.8951645973 -9.7453566077 -9.6177352756 3.3731105078
stp=48 -10.4543987836 -9.8956521898 -9.7470861653 -9.6212139257 3.3731105141
stp=50 -10.4543987868 -9.8959292598 -9.7487055459 -9.6285467631 3.3731105155
stp=52 -10.4543987873 -9.8960002416 -9.7492870267 -9.6333174166 3.3731105157
stp=54 -10.4543987874 -9.8960145909 -9.7494252860 -9.6347384663 3.3731105157
stp=56 -10.4543987874 -9.8960196115 -9.7494805867 -9.6353881565 3.3731105157
stp=58 -10.4543987874 -9.8960275200 -9.7496027255 -9.6374672201 3.3731105157
stp=60 -10.4543987874 -9.8960410691 -9.7502519548 -9.6896114633 3.3731105157
stp=62 -10.4543987874 -9.8960478726 -9.7526828721 -9.7343590255 3.3731105157
stp=64 -10.4543987874 -9.8960492086 -9.7546249752 -9.7400726325 3.3731105157
stp=66 -10.4543987874 -9.8960493627 -9.7549541476 -9.7406431368 3.3731105157
stp=68 -10.4543987874 -9.8960493833 -9.7550028662 -9.7407223194 3.3731105157
stp=70 -10.4543987874 -9.8960493861 -9.7550101305 -9.7407340887 3.3731105157
stp=72 -10.4543987874 -9.8960493864 -9.7550110802 -9.7407356350 3.3731105157
stp=74 -10.4543987874 -9.8960493865 -9.7550111732 -9.7407357875 3.3731105157
stp=76 -10.4543987874 -9.8960493865 -9.7550111845 -9.7407358060 3.3731105157
stp=78 -10.4543987874 -9.8960493865 -9.7550111858 -9.7407358081 3.3731105157
stp=80 -10.4543987874 -9.8960493865 -9.7550111859 -9.7407358084 3.3731105157
