  <H>         <N>        <Sz>       <S2>       <D> 
  -7.813475  10.000000   0.000000  -0.000000   2.015185
  -7.534145  10.000000   0.000000   2.000000   2.016541
  -7.534145  10.000000   0.000000   2.000000   2.016541
  -6.964245  10.000000   0.000000  -0.000000   2.042401
  -6.794234  10.000000   0.000000   2.000000   2.043745
  -6.660117  10.000000   0.000000  -0.000000   2.000000
  -6.513591  10.000000   0.000000  -0.000000   2.021722
  -6.513591  10.000000   0.000000  -0.000000   2.021722
  -6.339308  10.000000   0.000000   2.000000   2.012826
  -5.752967  10.000000   0.000000   2.000000   2.012791
  -5.752967  10.000000   0.000000   2.000000   2.012791
  -5.017696  10.000000   0.000000   0.000000   2.000243
  -4.926754  10.000000   0.000000   6.000000   2.131683
  -4.273002  10.000000   0.000000   2.000000   2.113820
  -4.273002  10.000000   0.000000   2.000000   2.113820
  -3.875984  10.000000   0.000000   2.000000   2.020547
  -3.817743  10.000000   0.000000   2.000000   2.168222
  -3.746388  10.000000   0.000000   6.000000   2.006252
  -3.746388  10.000000   0.000000   6.000000   2.006252
  -3.603875  10.000000   0.000000   0.000000   2.000000
  -3.525428  10.000000   0.000000   2.000000   2.039740
  -3.256618  10.000000   0.000000  -0.000000   2.121654
  -3.256618  10.000000   0.000000  -0.000000   2.121654
  -3.145939  10.000000   0.000000  -0.000000   2.326090
  -3.133837  10.000000   0.000000   0.000000   2.158850
  -3.068944  10.000000   0.000000   2.000000   2.020696
  -2.974312  10.000000   0.000000   6.000000   2.000000
  -2.954735  10.000000   0.000000   2.000000   2.065648
  -2.954735  10.000000   0.000000   2.000000   2.065648
  -2.926932  10.000000   0.000000   6.000000   2.198024
  -2.926932  10.000000   0.000000   6.000000   2.198024
  -2.683227  10.000000   0.000000   2.000000   2.116431
  -2.683227  10.000000   0.000000   2.000000   2.116431
  -2.654250  10.000000   0.000000   2.000000   2.223232
  -2.630898  10.000000   0.000000   2.000000   2.203058
  -2.576484  10.000000   0.000000   2.000000   2.045911
  -2.470804  10.000000   0.000000   2.000000   2.169299
  -2.279452  10.000000   0.000000   6.000000   2.000000
  -2.279452  10.000000   0.000000   6.000000   2.000000
  -2.132694  10.000000   0.000000   2.000000   2.063700
  -2.132694  10.000000   0.000000   2.000000   2.063700
  -2.000000  10.000000   0.000000   0.000000   2.285489
  -2.000000  10.000000   0.000000  -0.000000   2.123336
  -2.000000  10.000000   0.000000  -0.000000   2.076861
  -2.000000  10.000000   0.000000   0.000000   2.018274
  -2.000000  10.000000   0.000000   0.000000   2.067468
  -1.683326  10.000000   0.000000   2.000000   2.094973
  -1.683326  10.000000   0.000000   2.000000   2.094973
  -1.653772  10.000000   0.000000   6.000000   2.306935
  -1.596721  10.000000   0.000000   0.000000   2.000000
  -1.503379  10.000000   0.000000   6.000000   2.000000
  -1.305496  10.000000   0.000000   2.000000   2.183235
  -1.305496  10.000000   0.000000   2.000000   2.183235
  -1.267048  10.000000   0.000000   2.000000   2.372520
  -1.236068  10.000000   0.000000   2.000000   2.063075
  -1.214559  10.000000   0.000000   2.000000   2.013728
  -1.171136  10.000000   0.000000   6.000000   2.151760
  -1.171136  10.000000   0.000000   6.000000   2.151760
  -1.129050  10.000000   0.000000   2.000000   2.258872
  -0.965579  10.000000   0.000000   2.000000   2.166753
  -0.890084  10.000000   0.000000  -0.000000   2.000000
  -0.731510  10.000000   0.000000   2.000000   2.326360
  -0.731510  10.000000   0.000000   2.000000   2.326360
  -0.723270  10.000000   0.000000  -0.000000   2.670065
  -0.723270  10.000000   0.000000  -0.000000   2.670065
  -0.632486  10.000000   0.000000  -0.000000   2.420672
  -0.304201  10.000000   0.000000   2.000000   2.531507
  -0.275596  10.000000   0.000000   0.000000   2.053043
   0.000000  10.000000   0.000000   5.892822   2.271189
   0.000000  10.000000   0.000000   7.188602   2.304089
   0.000000  10.000000   0.000000   6.934493   2.279200
   0.000000  10.000000   0.000000   2.414616   2.860667
  -0.000000  10.000000   0.000000   2.956573   2.633232
   0.000000  10.000000   0.000000   4.017734   2.650694
   0.000000  10.000000   0.000000   6.082728   2.436284
   0.000000  10.000000   0.000000   4.726296   2.571827
  -0.000000  10.000000   0.000000   3.185907   2.696636
   0.000000  10.000000   0.000000   4.074497   2.547427
   0.000000  10.000000   0.000000   3.688661   2.675669
  -0.000000  10.000000   0.000000   2.254505   2.833344
  -0.000000  10.000000   0.000000   4.582564   2.668314
   0.343082  10.000000   0.000000   2.000000   2.170782
   0.343082  10.000000   0.000000   2.000000   2.170782
   0.458835  10.000000   0.000000  -0.000000   2.438873
   0.458835  10.000000   0.000000   0.000000   2.438873
   0.459363  10.000000   0.000000   6.000000   2.000000
   0.459363  10.000000   0.000000   6.000000   2.000000
   0.546032  10.000000   0.000000   2.000000   2.376758
   0.862604  10.000000   0.000000   6.000000   2.349536
   0.939835  10.000000   0.000000   2.000000   2.224192
   1.024367  10.000000   0.000000  -0.000000   2.176232
   1.039730  10.000000   0.000000   2.000000   2.349197
   1.039730  10.000000   0.000000   2.000000   2.349197
   1.041253  10.000000   0.000000   6.000000   2.000000
   1.060203  10.000000   0.000000   6.000000   2.101239
   1.060203  10.000000   0.000000   6.000000   2.101239
   1.095186  10.000000   0.000000   0.000000   2.483027
   1.279467  10.000000   0.000000   2.000000   2.050843
   1.279467  10.000000   0.000000   2.000000   2.050843
   1.758261  10.000000   0.000000   2.000000   2.076423
   1.758261  10.000000   0.000000   2.000000   2.076423
   2.000000  10.000000   0.000000   6.775097   2.000000
   2.000000  10.000000   0.000000   6.957521   2.000000
   2.000000  10.000000   0.000000   6.899920   2.000000
   2.000000  10.000000   0.000000   7.565748   2.000000
   2.000000  10.000000   0.000000   3.801715   2.000000
   2.156325  10.000000   0.000000   2.000000   2.184788
   2.256838  10.000000   0.000000   0.000000   2.000000
   2.308286  10.000000   0.000000   6.000000   2.007518
   2.308286  10.000000   0.000000   6.000000   2.007518
   2.421431  10.000000   0.000000   2.000000   2.015119
   2.493959  10.000000   0.000000   0.000000   2.000000
   2.688071  10.000000   0.000000   6.000000   2.213552
