LanczosStep  E[1] E[2] E[3] E[4] Target:E[3] E_Max/Nsite
stp = 2 -4.6402130891 2.4860454368 xxxxxxxxxx xxxxxxxxx 0.0000000000 xxxxxxxxx 
stp=4 -10.1460413333 -4.3286855296 0.6064482420 5.0176928328 0.6064482420 0.6272116041
stp=6 -12.4537540884 -8.0398912250 -3.7486035554 -0.1765101031 -3.7486035554 0.7274920397
stp=8 -12.6648743229 -9.1522787382 -6.7562613152 -3.3964895719 -6.7562613152 0.7692132574
stp=10 -12.6771257746 -9.6291368065 -7.8720590166 -5.5466463963 -7.8720590166 0.7892304027
stp=12 -12.6776020047 -9.7654807213 -8.4273506643 -6.9968012102 -8.4273506643 0.8025794436
stp=14 -12.6776207139 -9.8141608500 -8.8496605728 -7.7144160980 -8.8496605728 0.8119094246
stp=16 -12.6776213623 -9.8310890429 -9.0922558815 -8.1217582634 -9.0922558815 0.8168428621
stp=18 -12.6776213779 -9.8344354026 -9.1680326305 -8.3106589492 -9.1680326305 0.8194539482
stp=20 -12.6776213782 -9.8347740184 -9.1811479440 -8.3746407315 -9.1811479440 0.8211026655
stp=22 -12.6776213782 -9.8347968258 -9.1826792854 -8.3918237353 -9.1826792854 0.8224113599
stp=24 -12.6776213782 -9.8347988428 -9.1829245864 -8.3996669260 -9.1829245864 0.8233114732
stp=26 -12.6776213782 -9.8347989525 -9.1829479729 -8.4017615189 -9.1829479729 0.8239227654
stp=28 -12.6776213782 -9.8347989634 -9.1829521714 -8.4029134459 -9.1829521714 0.8245471855
stp=30 -12.6776213782 -9.8347989641 -9.1829526764 -8.4033815977 -9.1829526764 0.8248870613
stp=32 -12.6776213782 -9.8347989642 -9.1829527306 -8.4035222296 -9.1829527306 0.8251189710
stp=34 -12.6776213782 -9.8347989642 -9.1829527354 -8.4035534784 -9.1829527354 0.8253075241
stp=36 -12.6776213782 -9.8347989642 -9.1829527358 -8.4035598639 -9.1829527358 0.8256513259
stp=38 -12.6776213782 -9.8347989642 -9.1829527358 -8.4035605103 -9.1829527358 0.8259286205
stp=40 -12.6776213782 -9.8347989642 -9.1829527358 -8.4035605809 -9.1829527358 0.8260415410
stp=42 -12.6776213782 -9.8347989642 -9.1829527358 -8.4035605906 -9.1829527358 0.8260967492
