    0    0    0    0 0.4999986800 0.0000000000
    0    1    0    1 0.5000013200 -0.0000000000
    1    0    1    0 0.5000005814 -0.0000000000
    1    1    1    1 0.4999994186 -0.0000000000
    2    0    2    0 0.5000012396 -0.0000000000
    2    1    2    1 0.4999987604 -0.0000000000
    3    0    3    0 0.4999954939 -0.0000000000
    3    1    3    1 0.5000045061 -0.0000000000
    4    0    4    0 0.5000049792 -0.0000000000
    4    1    4    1 0.4999950208 -0.0000000000
    5    0    5    0 0.4999964948 -0.0000000000
    5    1    5    1 0.5000035052 -0.0000000000
    6    0    6    0 0.5000009434 -0.0000000000
    6    1    6    1 0.4999990566 -0.0000000000
    7    0    7    0 0.4999965359 -0.0000000000
    7    1    7    1 0.5000034641 -0.0000000000
    8    0    8    0 0.4999957802 -0.0000000000
    8    1    8    1 0.5000042198 -0.0000000000
    9    0    9    0 0.5000094093 -0.0000000000
    9    1    9    1 0.4999905907 0.0000000000
   10    0   10    0 0.4999964671 -0.0000000000
   10    1   10    1 0.5000035329 -0.0000000000
   11    0   11    0 0.5000016833 -0.0000000000
   11    1   11    1 0.4999983167 -0.0000000000
   12    0   12    0 0.4999963580 -0.0000000000
   12    1   12    1 0.5000036420 -0.0000000000
   13    0   13    0 0.4999983585 -0.0000000000
   13    1   13    1 0.5000016415 -0.0000000000
   14    0   14    0 0.5000095910 -0.0000000000
   14    1   14    1 0.4999904090 0.0000000000
   15    0   15    0 0.5000011682 -0.0000000000
   15    1   15    1 0.4999988318 -0.0000000000
   16    0   16    0 0.5000016414 -0.0000000000
   16    1   16    1 0.4999983586 -0.0000000000
   17    0   17    0 0.5000055238 -0.0000000000
   17    1   17    1 0.4999944762 -0.0000000000
