  <H>         <N>        <Sz>       <S2>       <D> 
  -7.142296  16.000000   0.000000  -0.000000   0.000000
  -6.872107  16.000000   0.000000   2.000000   0.000000
  -6.696547  16.000000   0.000000   0.000000   0.000000
  -6.523407  16.000000   0.000000   2.000000   0.000000
  -6.523407  16.000000   0.000000   2.000000   0.000000
  -6.298653  16.000000   0.000000   2.000000   0.000000
  -6.298653  16.000000   0.000000   2.000000   0.000000
  -6.122315  16.000000   0.000000   6.000000   0.000000
  -6.085830  16.000000   0.000000   0.000000   0.000000
  -6.085830  16.000000   0.000000  -0.000000   0.000000
  -5.990987  16.000000   0.000000   2.000000   0.000000
  -5.990987  16.000000   0.000000   2.000000   0.000000
  -5.964250  16.000000   0.000000  -0.000000   0.000000
  -5.964250  16.000000   0.000000   0.000000   0.000000
  -5.823231  16.000000   0.000000   2.000000   0.000000
  -5.823231  16.000000   0.000000   2.000000   0.000000
  -5.779925  16.000000   0.000000   6.000000   0.000000
  -5.779925  16.000000   0.000000   6.000000   0.000000
  -5.747596  16.000000   0.000000   2.000000   0.000000
  -5.746266  16.000000   0.000000   2.000000   0.000000
  -5.619075  16.000000   0.000000  -0.000000   0.000000
  -5.619075  16.000000   0.000000   0.000000   0.000000
  -5.615176  16.000000   0.000000   2.000000   0.000000
  -5.615176  16.000000   0.000000   2.000000   0.000000
  -5.607150  16.000000   0.000000   6.000000   0.000000
  -5.607150  16.000000   0.000000   6.000000   0.000000
  -5.591290  16.000000   0.000000   0.000000   0.000000
  -5.542397  16.000000   0.000000  -0.000000   0.000000
  -5.542397  16.000000   0.000000   0.000000   0.000000
  -5.525353  16.000000   0.000000   2.000000   0.000000
  -5.525353  16.000000   0.000000   2.000000   0.000000
  -5.473399  16.000000   0.000000  -0.000000   0.000000
  -5.451966  16.000000   0.000000   2.000000   0.000000
  -5.451966  16.000000   0.000000   2.000000   0.000000
  -5.436530  16.000000   0.000000   2.000000   0.000000
  -5.436530  16.000000   0.000000   2.000000   0.000000
  -5.414244  16.000000   0.000000   2.000000   0.000000
  -5.414244  16.000000   0.000000   2.000000   0.000000
  -5.404132  16.000000   0.000000   2.000000   0.000000
  -5.404132  16.000000   0.000000   2.000000   0.000000
  -5.353946  16.000000   0.000000   0.000000   0.000000
  -5.353946  16.000000   0.000000   0.000000   0.000000
  -5.335725  16.000000   0.000000   6.000000   0.000000
  -5.335725  16.000000   0.000000   6.000000   0.000000
  -5.327618  16.000000   0.000000  -0.000000   0.000000
  -5.327618  16.000000   0.000000   0.000000   0.000000
  -5.277294  16.000000   0.000000   2.000000   0.000000
  -5.277294  16.000000   0.000000   2.000000   0.000000
  -5.276768  16.000000   0.000000   6.000000   0.000000
  -5.276768  16.000000   0.000000   6.000000   0.000000
  -5.223594  16.000000   0.000000   6.000000   0.000000
  -5.223594  16.000000   0.000000   6.000000   0.000000
  -5.221622  16.000000   0.000000   2.000000   0.000000
  -5.221622  16.000000   0.000000   2.000000   0.000000
  -5.175167  16.000000   0.000000   2.000000   0.000000
  -5.175167  16.000000   0.000000   2.000000   0.000000
  -5.098158  16.000000   0.000000   6.000000   0.000000
  -5.076036  16.000000   0.000000  -0.000000   0.000000
  -5.076036  16.000000   0.000000   0.000000   0.000000
  -5.074763  16.000000   0.000000   6.000000   0.000000
  -5.074763  16.000000   0.000000   6.000000   0.000000
  -5.069234  16.000000   0.000000   6.000000   0.000000
  -5.069234  16.000000   0.000000   6.000000   0.000000
  -5.064788  16.000000   0.000000   0.000000   0.000000
  -5.064788  16.000000   0.000000   0.000000   0.000000
  -5.043729  16.000000   0.000000   2.000000   0.000000
  -5.043729  16.000000   0.000000   2.000000   0.000000
  -5.035854  16.000000   0.000000   6.000000   0.000000
  -5.035854  16.000000   0.000000   6.000000   0.000000
  -5.011280  16.000000   0.000000   0.000000   0.000000
  -5.011280  16.000000   0.000000   0.000000   0.000000
  -5.006176  16.000000   0.000000   2.000000   0.000000
  -5.006176  16.000000   0.000000   2.000000   0.000000
  -4.995767  16.000000   0.000000   2.000000   0.000000
  -4.995767  16.000000   0.000000   2.000000   0.000000
  -4.976968  16.000000   0.000000   2.000000   0.000000
  -4.976968  16.000000   0.000000   2.000000   0.000000
  -4.974583  16.000000   0.000000  12.000000   0.000000
  -4.962579  16.000000   0.000000  -0.000000   0.000000
  -4.962579  16.000000   0.000000  -0.000000   0.000000
  -4.901413  16.000000   0.000000   2.000000   0.000000
  -4.901413  16.000000   0.000000   2.000000   0.000000
  -4.894289  16.000000   0.000000   2.000000   0.000000
  -4.894289  16.000000   0.000000   2.000000   0.000000
  -4.867199  16.000000   0.000000   2.000000   0.000000
  -4.867199  16.000000   0.000000   2.000000   0.000000
  -4.847155  16.000000   0.000000   2.000000   0.000000
  -4.847155  16.000000   0.000000   2.000000   0.000000
  -4.843511  16.000000   0.000000   2.000000   0.000000
  -4.843511  16.000000   0.000000   2.000000   0.000000
  -4.837787  16.000000   0.000000   6.000000   0.000000
  -4.837787  16.000000   0.000000   6.000000   0.000000
  -4.831280  16.000000   0.000000   6.000000   0.000000
  -4.831280  16.000000   0.000000   6.000000   0.000000
  -4.815168  16.000000   0.000000   6.000000   0.000000
  -4.815168  16.000000   0.000000   6.000000   0.000000
  -4.814244  16.000000   0.000000   0.000000   0.000000
  -4.807998  16.000000   0.000000   2.000000   0.000000
  -4.797748  16.000000   0.000000   6.000000   0.000000
  -4.797748  16.000000   0.000000   6.000000   0.000000
  -4.772939  16.000000   0.000000   2.000000   0.000000
  -4.772939  16.000000   0.000000   2.000000   0.000000
  -4.769921  16.000000   0.000000   2.000000   0.000000
  -4.769921  16.000000   0.000000   2.000000   0.000000
  -4.754250  16.000000   0.000000  -0.000000   0.000000
  -4.754250  16.000000   0.000000  -0.000000   0.000000
  -4.737786  16.000000   0.000000   0.000000   0.000000
  -4.737786  16.000000   0.000000   0.000000   0.000000
  -4.734971  16.000000   0.000000   2.000000   0.000000
  -4.734971  16.000000   0.000000   2.000000   0.000000
  -4.734411  16.000000   0.000000   0.000000   0.000000
  -4.734411  16.000000   0.000000  -0.000000   0.000000
  -4.730060  16.000000   0.000000  -0.000000   0.000000
  -4.730060  16.000000   0.000000  -0.000000   0.000000
  -4.713765  16.000000   0.000000   6.000000   0.000000
  -4.713765  16.000000   0.000000   6.000000   0.000000
  -4.699122  16.000000   0.000000   6.000000   0.000000
  -4.699122  16.000000   0.000000   6.000000   0.000000
  -4.698636  16.000000   0.000000   2.000000   0.000000
  -4.690892  16.000000   0.000000   2.000000   0.000000
  -4.690892  16.000000   0.000000   2.000000   0.000000
  -4.658983  16.000000   0.000000  12.000000   0.000000
  -4.658983  16.000000   0.000000  12.000000   0.000000
  -4.640427  16.000000   0.000000   2.000000   0.000000
