LanczosStep  E[1] E[2] E[3] E[4] E_Max/Nsite
stp = 2 -3.2254254034 1.6468018184 xxxxxxxxxx xxxxxxxxx xxxxxxxxx 
stp=4 -6.7820715530 -2.7836370769 0.7786252858 4.0774968261 0.2548435516
stp=6 -9.0111350454 -5.6735970048 -2.5757354147 0.3266396414 0.3587843481
stp=8 -10.1874892430 -7.5463726730 -4.9400546102 -2.3929111642 0.4326829594
stp=10 -10.6461828137 -8.6814106137 -6.5386785213 -4.3571155356 0.4744791443
stp=12 -10.8072660333 -9.4328128512 -7.8098286977 -5.9754838023 0.4925330758
stp=14 -10.9730208728 -10.2769246094 -8.7937596134 -7.1950218259 0.4985248834
stp=16 -11.1785856104 -10.6000556909 -9.2311827650 -7.9711268165 0.4998368062
stp=18 -11.2246815057 -10.6447239253 -9.4336779994 -8.4740353200 0.4999853812
stp=20 -11.2282801501 -10.6494722660 -9.4981021856 -8.6772980477 0.4999986133
stp=22 -11.2284716359 -10.6498496430 -9.5128016070 -8.7654746936 0.4999998866
stp=24 -11.2284826889 -10.6498825421 -9.5167723327 -8.8298496764 0.4999999921
stp=26 -11.2284831902 -10.6498847542 -9.5175637569 -8.8644684898 0.4999999996
stp=28 -11.2284832078 -10.6498848667 -9.5176707307 -8.8756171622 0.5000000000
stp=30 -11.2284832084 -10.6498848722 -9.5176842702 -8.8788666463 0.5000000000
stp=32 -11.2284832084 -10.6498848726 -9.5176871908 -8.8809052059 0.5000000000
stp=34 -11.2284832084 -10.6498848727 -9.5176878199 -8.8825503092 0.5000000000
stp=36 -11.2284832084 -10.6498848727 -9.5176879535 -8.8841410313 0.5000000000
stp=38 -11.2284832084 -10.6498848727 -9.5176879809 -8.8857808195 0.5000000000
stp=40 -11.2284832084 -10.6498848727 -9.5176879837 -8.8863458779 0.5000000000
