  <H>         <N>        <Sz>       <S2>       <D> 
  -2.450071  12.000000   0.000000  13.112225   0.000000
  -2.450071  12.000000   0.000000  13.112225   0.000000
  -2.450071  12.000000  -0.000000  16.263890   0.000000
  -2.450071  12.000000   0.000000  13.112225   0.000000
  -2.342779  12.000000   0.000000  17.697179   0.000000
  -2.342779  12.000000  -0.000000  12.348351   0.000000
  -2.342779  12.000000  -0.000000  12.348351   0.000000
  -2.342779  12.000000   0.000000  12.348351   0.000000
  -2.323739  12.000000   0.117845  12.454676   0.000000
  -2.323739  12.000000  -0.078226  12.422254   0.000000
  -2.323739  12.000000   1.492317  14.946248   0.000000
  -2.323739  12.000000   0.442715  13.122435   0.000000
  -2.323739  12.000000   1.376378  14.803079   0.000000
  -2.323739  12.000000  -1.052771  14.933422   0.000000
  -2.323739  12.000000   0.598279  14.278493   0.000000
  -2.323739  12.000000  -0.969399  13.574228   0.000000
  -2.323739  12.000000  -0.465595  13.267615   0.000000
  -2.323739  12.000000  -0.047451  12.745868   0.000000
  -2.323739  12.000000  -1.029777  14.128734   0.000000
  -2.323739  12.000000  -0.384314  13.092672   0.000000
  -2.322876  12.000000  -0.000000  13.645751   0.000000
  -2.283662  12.000000   0.447540  13.070167   0.000000
  -2.283662  12.000000   0.255752  11.623265   0.000000
  -2.283662  12.000000  -0.259008  13.577064   0.000000
  -2.283662  12.000000   0.579459  15.931778   0.000000
  -2.283662  12.000000  -0.191590  13.167339   0.000000
  -2.283662  12.000000  -0.221850  15.128981   0.000000
  -2.283662  12.000000   0.474814  13.646140   0.000000
  -2.283662  12.000000  -0.426868  11.755057   0.000000
  -2.283662  12.000000  -0.279225  12.042255   0.000000
  -2.283662  12.000000   0.042428  15.721470   0.000000
  -2.283662  12.000000  -0.410208  12.241412   0.000000
  -2.283662  12.000000  -0.011243  14.902967   0.000000
  -2.244451  12.000000  -0.070471  14.272215   0.000000
  -2.244451  12.000000  -0.203993  13.302282   0.000000
  -2.244451  12.000000   0.049587  11.923862   0.000000
  -2.244451  12.000000  -0.109717  14.076346   0.000000
  -2.244451  12.000000   0.139696  14.260871   0.000000
  -2.244451  12.000000   0.168251  12.566097   0.000000
  -2.244451  12.000000  -0.303858  14.763302   0.000000
  -2.244451  12.000000   0.117593  13.835084   0.000000
  -2.244451  12.000000   0.049404  13.653272   0.000000
  -2.244451  12.000000  -0.187931  14.235084   0.000000
  -2.244451  12.000000  -0.166060  12.136978   0.000000
  -2.244451  12.000000  -0.227521  13.970524   0.000000
  -2.244451  12.000000  -0.023055  12.110897   0.000000
  -2.244451  12.000000   0.407506  13.112571   0.000000
  -2.244451  12.000000   0.322890  14.153770   0.000000
  -2.244451  12.000000   0.283532  13.652168   0.000000
  -2.244451  12.000000  -0.068615  13.134843   0.000000
  -2.244451  12.000000  -0.060306  14.718493   0.000000
  -2.244451  12.000000   0.138450  12.904873   0.000000
  -2.244451  12.000000   0.045989  12.333646   0.000000
  -2.244451  12.000000  -0.028191  13.104479   0.000000
  -2.244451  12.000000  -0.194298  14.935274   0.000000
  -2.244451  12.000000   0.048931  13.954390   0.000000
