LanczosStep  E[1] E[2] E[3] E[4] E_Max/Nsite
stp = 2 -1.0351870199 1.0574166811 xxxxxxxxxx xxxxxxxxx xxxxxxxxx 
stp=4 -1.9727117274 -0.6841902712 0.6702010016 1.9852656617 0.1654388051
stp=6 -2.2188325428 -1.4361822209 -0.5071292708 0.4781990348 0.1833918916
stp=8 -2.2989188784 -1.8447384532 -1.1519823958 -0.3998155441 0.1889359910
stp=10 -2.3568089341 -2.1122021382 -1.6097957392 -1.0018436213 0.1927810941
stp=12 -2.4152519574 -2.2222227327 -1.8015154250 -1.3127674519 0.1984230874
stp=14 -2.4342495845 -2.2499386871 -1.9537454434 -1.6542082095 0.2011838932
stp=16 -2.4448122624 -2.2809956985 -2.1342663764 -1.7903889931 0.2030767259
stp=18 -2.4486625883 -2.3040949051 -2.1861292559 -1.8631267914 0.2038651212
stp=20 -2.4495684809 -2.3136381008 -2.2034292823 -1.9683777525 0.2040671735
stp=22 -2.4499158105 -2.3214974670 -2.2254432444 -2.1150417420 0.2041393854
stp=24 -2.4500310096 -2.3278828411 -2.2508345482 -2.1646222575 0.2041632510
stp=26 -2.4500576756 -2.3310604016 -2.2635250544 -2.1782643813 0.2041696646
stp=28 -2.4500665283 -2.3334290416 -2.2744042576 -2.1929421390 0.2041716908
stp=30 -2.4500694019 -2.3353829724 -2.2852966089 -2.2145101613 0.2041722600
stp=32 -2.4500702482 -2.3369031895 -2.2947076511 -2.2329806771 0.2041724611
stp=34 -2.4500705553 -2.3385148604 -2.3045697198 -2.2491485589 0.2041725300
stp=36 -2.4500706379 -2.3397722428 -2.3111762688 -2.2585602024 0.2041725476
stp=38 -2.4500706641 -2.3408569581 -2.3160518015 -2.2659670106 0.2041725538
stp=40 -2.4500706727 -2.3418296901 -2.3198971111 -2.2731349490 0.2041725557
stp=42 -2.4500706744 -2.3423137885 -2.3216814278 -2.2772828259 0.2041725561
stp=44 -2.4500706750 -2.3426340098 -2.3229006077 -2.2810281414 0.2041725562
stp=46 -2.4500706750 -2.3427511111 -2.3233854295 -2.2830157034 0.2041725563
stp=48 -2.4500706751 -2.3427728036 -2.3234835257 -2.2835183950 0.2041725563
stp=50 -2.4500706751 -2.3427759351 -2.3234989263 -2.2836139983 0.2041725563
stp=52 -2.4500706751 -2.3427771820 -2.3235057343 -2.2836678898 0.2041725563
stp=54 -2.4500706751 -2.3427776587 -2.3235087136 -2.2837008387 0.2041725563
stp=56 -2.4500706751 -2.3427778776 -2.3235103138 -2.2837278748 0.2041725563
stp=58 -2.4500706751 -2.3427780611 -2.3235120268 -2.2837963367 0.2041725563
stp=60 -2.4500706751 -2.3427784851 -2.3235213103 -2.3099768543 0.2041725563
stp=62 -2.4500706751 -2.3427787982 -2.3235823575 -2.3214762269 0.2041725563
stp=64 -2.4500706751 -2.3427788425 -2.3236534395 -2.3224921313 0.2041725563
stp=66 -2.4500706751 -2.3427788532 -2.3236940767 -2.3227193494 0.2041725563
stp=68 -2.4500706751 -2.3427788590 -2.3237291775 -2.3228480251 0.2041725563
stp=70 -2.4500706751 -2.3427788600 -2.3237374390 -2.3228726065 0.2041725563
stp=72 -2.4500706751 -2.3427788601 -2.3237383351 -2.3228751734 0.2041725563
stp=74 -2.4500706751 -2.3427788601 -2.3237384437 -2.3228754842 0.2041725563
stp=76 -2.4500706751 -2.3427788601 -2.3237384799 -2.3228755881 0.2041725563
stp=78 -2.4500706751 -2.3427788601 -2.3237384998 -2.3228756457 0.2041725563
stp=80 -2.4500706751 -2.3427788601 -2.3237385030 -2.3228756548 0.2041725563
stp=82 -2.4500706751 -2.3427788601 -2.3237385032 -2.3228756555 0.2041725563
