 # inv_temp, global_norm, global_1st_norm, step_i 
0.013887 12.000654 37.201529 1
0.027771 12.001929 37.201529 2
0.041652 12.003203 37.201529 3
0.055530 12.004477 37.201529 4
0.069406 12.005751 37.201529 5
0.083278 12.007024 37.201529 6
0.097147 12.008296 37.201529 7
0.111014 12.009567 37.201529 8
0.124877 12.010837 37.201529 9
0.138738 12.012105 37.201529 10
0.152596 12.013372 37.201529 11
0.166450 12.014638 37.201529 12
0.180302 12.015902 37.201529 13
0.194151 12.017164 37.201529 14
0.207998 12.018424 37.201529 15
0.221841 12.019681 37.201529 16
0.235681 12.020937 37.201529 17
0.249519 12.022190 37.201529 18
0.263354 12.023440 37.201529 19
0.277186 12.024688 37.201529 20
0.291015 12.025933 37.201529 21
0.304842 12.027175 37.201529 22
0.318665 12.028413 37.201529 23
0.332486 12.029649 37.201529 24
0.346304 12.030881 37.201529 25
0.360120 12.032109 37.201529 26
0.373933 12.033334 37.201529 27
0.387743 12.034556 37.201529 28
0.401550 12.035773 37.201529 29
0.415355 12.036986 37.201529 30
0.429157 12.038195 37.201529 31
0.442957 12.039400 37.201529 32
0.456754 12.040601 37.201529 33
0.470548 12.041797 37.201529 34
0.484340 12.042988 37.201529 35
0.498129 12.044175 37.201529 36
0.511916 12.045357 37.201529 37
0.525701 12.046535 37.201529 38
0.539483 12.047707 37.201529 39
0.553262 12.048874 37.201529 40
0.567039 12.050036 37.201529 41
0.580814 12.051193 37.201529 42
0.594586 12.052344 37.201529 43
0.608356 12.053490 37.201529 44
0.622124 12.054631 37.201529 45
0.635889 12.055766 37.201529 46
0.649652 12.056895 37.201529 47
0.663413 12.058018 37.201529 48
0.677171 12.059136 37.201529 49
0.690928 12.060248 37.201529 50
0.704682 12.061353 37.201529 51
0.718434 12.062453 37.201529 52
0.732184 12.063547 37.201529 53
0.745932 12.064634 37.201529 54
0.759678 12.065715 37.201529 55
0.773421 12.066790 37.201529 56
0.787163 12.067859 37.201529 57
0.800903 12.068921 37.201529 58
0.814640 12.069976 37.201529 59
0.828376 12.071026 37.201529 60
0.842110 12.072068 37.201529 61
0.855842 12.073104 37.201529 62
0.869572 12.074134 37.201529 63
0.883301 12.075157 37.201529 64
0.897027 12.076173 37.201529 65
0.910752 12.077182 37.201529 66
0.924475 12.078185 37.201529 67
0.938196 12.079181 37.201529 68
0.951915 12.080170 37.201529 69
0.965633 12.081152 37.201529 70
0.979349 12.082128 37.201529 71
0.993064 12.083096 37.201529 72
1.006776 12.084058 37.201529 73
1.020488 12.085013 37.201529 74
1.034197 12.085961 37.201529 75
1.047906 12.086901 37.201529 76
1.061612 12.087835 37.201529 77
1.075317 12.088762 37.201529 78
1.089021 12.089682 37.201529 79
1.102723 12.090596 37.201529 80
1.116424 12.091502 37.201529 81
1.130124 12.092401 37.201529 82
1.143822 12.093293 37.201529 83
1.157519 12.094178 37.201529 84
1.171214 12.095056 37.201529 85
1.184908 12.095928 37.201529 86
1.198601 12.096792 37.201529 87
1.212293 12.097649 37.201529 88
1.225983 12.098500 37.201529 89
1.239672 12.099343 37.201529 90
1.253360 12.100180 37.201529 91
1.267047 12.101010 37.201529 92
1.280733 12.101833 37.201529 93
1.294417 12.102649 37.201529 94
1.308101 12.103458 37.201529 95
1.321783 12.104260 37.201529 96
1.335465 12.105056 37.201529 97
1.349145 12.105845 37.201529 98
1.362824 12.106627 37.201529 99
1.376503 12.107402 37.201529 100
1.390180 12.108171 37.201529 101
1.403856 12.108933 37.201529 102
1.417532 12.109688 37.201529 103
1.431206 12.110437 37.201529 104
1.444880 12.111179 37.201529 105
1.458553 12.111914 37.201529 106
1.472225 12.112643 37.201529 107
1.485896 12.113366 37.201529 108
1.499566 12.114082 37.201529 109
1.513236 12.114791 37.201529 110
1.526904 12.115495 37.201529 111
1.540572 12.116191 37.201529 112
1.554239 12.116882 37.201529 113
1.567906 12.117566 37.201529 114
1.581571 12.118244 37.201529 115
1.595236 12.118916 37.201529 116
1.608901 12.119581 37.201529 117
1.622564 12.120240 37.201529 118
1.636227 12.120894 37.201529 119
1.649890 12.121541 37.201529 120
1.663551 12.122182 37.201529 121
1.677213 12.122817 37.201529 122
1.690873 12.123446 37.201529 123
1.704533 12.124069 37.201529 124
1.718192 12.124686 37.201529 125
1.731851 12.125298 37.201529 126
1.745510 12.125904 37.201529 127
1.759167 12.126503 37.201529 128
1.772825 12.127098 37.201529 129
1.786481 12.127686 37.201529 130
1.800138 12.128269 37.201529 131
1.813793 12.128846 37.201529 132
1.827449 12.129418 37.201529 133
1.841104 12.129984 37.201529 134
1.854758 12.130545 37.201529 135
1.868412 12.131100 37.201529 136
1.882066 12.131650 37.201529 137
1.895719 12.132195 37.201529 138
1.909372 12.132734 37.201529 139
1.923024 12.133268 37.201529 140
