  <H>         <N>        <Sz>       <S2>       <D> 
  -8.617423   6.000000   0.000000  -0.000000   0.000000
  -7.896796   6.000000   1.000000   2.000000   0.000000
  -7.896796   6.000000  -1.000000   2.000000   0.000000
  -7.896796   6.000000  -0.000000   2.000000   0.000000
  -6.461718   6.000000  -0.000000   6.000000   0.000000
  -6.461718   6.000000   2.000000   6.000000   0.000000
  -6.461718   6.000000   1.000000   6.000000   0.000000
  -6.461718   6.000000  -1.001639   6.000000   0.000000
  -6.461718   6.000000  -1.998360   6.000000   0.000000
  -6.121784   6.000000   0.321672   2.000000   0.000000
  -6.121784   6.000000  -0.939245   2.000000   0.000000
  -6.121784   6.000000   0.211015   2.000000   0.000000
  -6.121784   6.000000   0.895404   2.000000   0.000000
  -6.121784   6.000000  -0.967618   2.000000   0.000000
  -6.121784   6.000000   0.478772   2.000000   0.000000
  -6.084885   6.000000   0.886767   2.000000   0.000000
  -6.084885   6.000000   0.999795   2.000000   0.000000
  -6.084885   6.000000  -0.957802   2.000000   0.000000
  -6.084885   6.000000   0.009538   2.000000   0.000000
  -6.084885   6.000000  -0.963288   2.000000   0.000000
  -6.084885   6.000000   0.024991   2.000000   0.000000
  -5.449490   6.000000  -0.000000   0.000000   0.000000
  -5.000000   6.000000  -0.884803   2.000000   0.000000
  -5.000000   6.000000   0.999690   2.000000   0.000000
  -5.000000   6.000000  -0.114886   2.000000   0.000000
  -4.797899   6.000000   0.000000  -0.000000   0.000000
  -4.758388   6.000000   1.682637   6.000000   0.000000
  -4.758388   6.000000  -0.557938   6.000000   0.000000
  -4.758388   6.000000  -0.149794   6.000000   0.000000
  -4.758388   6.000000  -0.241518   6.000000   0.000000
  -4.758388   6.000000  -1.726230   6.000000   0.000000
  -4.758388   6.000000  -0.240831   6.000000   0.000000
  -4.758388   6.000000   2.000000   6.000000   0.000000
  -4.758388   6.000000  -0.141558   6.000000   0.000000
  -4.758388   6.000000   0.221461   6.000000   0.000000
  -4.758388   6.000000  -0.846230   6.000000   0.000000
  -4.705821   6.000000  -0.989409   6.000000   0.000000
  -4.705821   6.000000  -0.555782   6.000000   0.000000
  -4.705821   6.000000   0.460292   6.000000   0.000000
  -4.705821   6.000000   1.999998   6.000000   0.000000
  -4.705821   6.000000  -0.417721   6.000000   0.000000
  -4.705821   6.000000  -1.528079   6.000000   0.000000
  -4.705821   6.000000  -0.172407   6.000000   0.000000
  -4.705821   6.000000  -0.858940   6.000000   0.000000
  -4.705821   6.000000   1.962390   6.000000   0.000000
  -4.705821   6.000000   0.099657   6.000000   0.000000
  -4.626198   6.000000  -0.000000  -0.000000   0.000000
  -4.626198   6.000000  -0.000000  -0.000000   0.000000
  -4.298839   6.000000  -1.001847  12.000000   0.000000
  -4.298839   6.000000  -0.000381  12.000000   0.000000
  -4.298839   6.000000  -2.950471  12.000000   0.000000
  -4.298839   6.000000   0.047699  12.000000   0.000000
  -4.298839   6.000000  -1.073478  12.000000   0.000000
  -4.298839   6.000000   2.999997  12.000000   0.000000
  -4.298839   6.000000   1.978481  12.000000   0.000000
  -4.094114   6.000000  -0.563820   2.000000   0.000000
  -4.094114   6.000000  -0.435534   2.000000   0.000000
  -4.094114   6.000000  -0.977408   2.000000   0.000000
  -4.094114   6.000000   0.999798   2.000000   0.000000
  -4.094114   6.000000   0.947737   2.000000   0.000000
  -4.094114   6.000000   0.029227   2.000000   0.000000
  -3.963372   6.000000  -0.831910   2.000000   0.000000
  -3.963372   6.000000   0.022875   2.000000   0.000000
  -3.963372   6.000000   0.472496   2.000000   0.000000
  -3.963372   6.000000  -0.957098   2.000000   0.000000
  -3.963372   6.000000   0.999596   2.000000   0.000000
  -3.963372   6.000000   0.294042   2.000000   0.000000
  -3.781728   6.000000  -1.440388   6.000000   0.000000
  -3.781728   6.000000  -1.325724   6.000000   0.000000
  -3.781728   6.000000   1.726168   6.000000   0.000000
  -3.781728   6.000000   0.862630   6.000000   0.000000
  -3.781728   6.000000  -1.002778   6.000000   0.000000
  -3.781728   6.000000   0.563316   6.000000   0.000000
  -3.781728   6.000000   0.322793   6.000000   0.000000
  -3.781728   6.000000  -1.756512   6.000000   0.000000
