    0    0    0    0 0.3333333185 0.0000000000
    0    1    0    1 0.3333333333 -0.0000000000
    0    2    0    2 0.3333333481 0.0000000000
    1    0    1    0 0.3333333481 0.0000000000
    1    1    1    1 0.3333333333 0.0000000000
    1    2    1    2 0.3333333185 0.0000000000
    2    0    2    0 0.3333333185 -0.0000000000
    2    1    2    1 0.3333333333 0.0000000000
    2    2    2    2 0.3333333481 0.0000000000
    3    0    3    0 0.3333333481 0.0000000000
    3    1    3    1 0.3333333333 0.0000000000
    3    2    3    2 0.3333333185 0.0000000000
    4    0    4    0 0.3333333185 -0.0000000000
    4    1    4    1 0.3333333333 0.0000000000
    4    2    4    2 0.3333333481 0.0000000000
    5    0    5    0 0.3333333481 0.0000000000
    5    1    5    1 0.3333333333 0.0000000000
    5    2    5    2 0.3333333185 -0.0000000000
